Time(s),Raw_Roll,Raw_Pitch,Raw_Yaw,Filtered_Roll,Filtered_Pitch,Filtered_Yaw,Delta_Roll,Delta_Pitch,Delta_Yaw
0.000,-48.3,-78.7,0.0,-48.3,-78.7,0.0,0.0,0.0,0.0
0.001,-48.4,-78.6,0.0,-48.38,-78.62,0.0,-0.08,0.08,0.0
0.001,-48.6,-78.6,0.0,-48.556,-78.604,0.0,-0.176,0.016,0.0
0.001,-48.6,-78.7,0.0,-48.5912,-78.6808,0.0,-0.0352,-0.0768,0.0
0.001,-48.6,-78.7,0.0,-48.5982,-78.6962,0.0,-0.007,-0.0154,0.0
0.001,-48.8,-78.8,0.0,-48.7596,-78.7792,0.0,-0.1614,-0.0831,0.0
0.001,-49.2,-78.9,0.0,-49.1119,-78.8758,0.0,-0.3523,-0.0966,0.0
0.001,-49.4,-78.9,0.0,-49.3424,-78.8952,0.0,-0.2305,-0.0193,0.0
0.041,-47.8,-75.0,0.0,-48.1085,-75.779,0.0,1.2339,3.1161,0.0
0.091,-48.0,-75.0,0.0,-48.0217,-75.1558,0.0,0.0868,0.6232,0.0
0.140,-48.0,-75.2,0.0,-48.0043,-75.1912,0.0,0.0174,-0.0354,0.0
0.191,-48.1,-75.3,0.0,-48.0809,-75.2782,0.0,-0.0765,-0.0871,0.0
0.240,-48.1,-75.4,0.0,-48.0962,-75.3756,0.0,-0.0153,-0.0974,0.0
0.290,-48.2,-75.6,0.0,-48.1792,-75.5551,0.0,-0.0831,-0.1795,0.0
0.340,-48.3,-75.7,0.0,-48.2758,-75.671,0.0,-0.0966,-0.1159,0.0
0.390,-48.6,-75.9,0.0,-48.5352,-75.8542,0.0,-0.2593,-0.1832,0.0
0.440,-48.9,-76.0,0.0,-48.827,-75.9708,0.0,-0.2919,-0.1166,0.0
0.490,-49.4,-76.3,0.0,-49.2854,-76.2342,0.0,-0.4584,-0.2633,0.0
