Time(s),Raw_Roll,Raw_Pitch,Raw_Yaw,Filtered_Roll,Filtered_Pitch,Filtered_Yaw,Delta_Roll,Delta_Pitch,Delta_Yaw
0.000,-75.1,-74.6,33.0,-75.1,-74.6,33.0,0.0,0.0,0.0
0.000,-74.9,-74.6,32.7,-75.0192,-74.6,32.8788,0.0808,0.0,-0.1212
0.001,-75.1,-74.6,32.8,-75.0429,-74.6,32.8557,-0.0237,0.0,-0.0231
0.001,-75.3,-74.7,32.9,-75.1026,-74.6232,32.866,-0.0598,-0.0232,0.0103
0.001,-75.4,-74.7,32.8,-75.1606,-74.6382,32.8531,-0.058,-0.015,-0.0129
0.001,-75.6,-74.8,32.8,-75.2354,-74.6658,32.8441,-0.0748,-0.0275,-0.009
0.001,-75.7,-74.8,32.9,-75.3064,-74.6863,32.8526,-0.0709,-0.0205,0.0085
0.001,-75.8,-74.8,32.8,-75.3754,-74.7022,32.8453,-0.0691,-0.0159,-0.0074
0.001,-75.8,-74.8,32.8,-75.4308,-74.7149,32.8394,-0.0554,-0.0128,-0.0059
0.002,-76.2,-74.8,33.1,-75.5255,-74.7254,32.8714,-0.0947,-0.0105,0.0321
0.099,72.4,-78.0,-60.4,-75.3288,-75.11,32.7475,0.1966,-0.3846,-0.124
0.149,72.7,-78.1,-60.6,-75.1176,-75.4481,32.6143,0.2113,-0.338,-0.1332
0.199,73.1,-78.2,-60.8,-74.8916,-75.7496,32.4718,0.226,-0.3015,-0.1424
0.248,73.4,-78.4,-60.8,-74.651,-76.0327,32.3205,0.2406,-0.2831,-0.1513
0.298,73.9,-78.8,-60.7,-74.3956,-76.3221,32.1606,0.2554,-0.2894,-0.1599
0.348,74.3,-79.2,-60.6,-74.1256,-76.6179,31.9921,0.27,-0.2959,-0.1684
0.398,74.6,-79.8,-60.3,-73.8412,-76.9405,31.8156,0.2844,-0.3226,-0.1765
0.448,75.1,-80.6,-60.4,-73.5421,-77.3072,31.6305,0.2991,-0.3667,-0.1852
0.498,76.1,-81.5,-60.9,-73.2273,-77.7234,31.4358,0.3148,-0.4162,-0.1947
0.548,77.8,-82.5,-62.1,-72.8952,-78.1939,31.2301,0.3321,-0.4705,-0.2057
