Time(s),Roll(deg),Pitch(deg),Yaw(deg),Delta_Roll,Delta_Pitch,Delta_Yaw
0.000,71.5,-78.1,-104.0,0.0,0.0,0.0
0.000,71.9,-78.0,-104.1,0.4,0.1,-0.1
0.001,72.6,-78.2,-104.8,0.7,-0.2,-0.7
0.001,73.6,-78.5,-105.5,1.0,-0.3,-0.7
0.058,96.3,-76.3,-139.6,22.7,2.2,-34.1
0.108,95.7,-76.3,-138.9,-0.6,0.0,0.7
0.158,95.5,-76.3,-138.7,-0.2,0.0,0.2
0.208,95.6,-76.4,-138.9,0.1,-0.1,-0.2
0.258,95.9,-76.5,-139.4,0.3,-0.1,-0.5
0.308,96.8,-76.8,-140.3,0.9,-0.3,-0.9
0.358,97.7,-77.1,-141.4,0.9,-0.3,-1.1
0.407,98.8,-77.6,-142.7,1.1,-0.5,-1.3
0.457,99.5,-78.1,-143.8,0.7,-0.5,-1.1
0.507,99.5,-78.6,-144.1,0.0,-0.5,-0.3
0.556,100.4,-79.0,-145.4,0.9,-0.4,-1.3
0.606,101.3,-79.4,-146.6,0.9,-0.4,-1.2
0.656,102.5,-79.7,-148.1,1.2,-0.3,-1.5
0.706,103.9,-79.9,-149.6,1.4,-0.2,-1.5
0.757,104.8,-79.9,-150.8,0.9,0.0,-1.2
0.807,106.0,-80.0,-152.2,1.2,-0.1,-1.4
0.856,106.2,-79.8,-152.7,0.2,0.2,-0.5
0.906,106.8,-79.8,-153.5,0.6,0.0,-0.8
0.957,107.5,-79.9,-154.5,0.7,-0.1,-1.0
1.006,108.7,-80.0,-156.1,1.2,-0.1,-1.6
1.056,110.1,-80.1,-158.0,1.4,-0.1,-1.9
1.106,111.0,-80.2,-159.4,0.9,-0.1,-1.4
1.155,111.8,-80.3,-160.4,0.8,-0.1,-1.0
1.205,112.7,-80.3,-161.7,0.9,0.0,-1.3
1.255,113.7,-80.3,-163.0,1.0,0.0,-1.3
1.306,114.7,-80.3,-164.3,1.0,0.0,-1.3
1.355,115.7,-80.4,-165.6,1.0,-0.1,-1.3
1.405,116.1,-80.4,-166.2,0.4,0.0,-0.6
1.455,116.6,-80.4,-166.9,0.5,0.0,-0.7
1.505,117.3,-80.4,-167.9,0.7,0.0,-1.0
1.555,118.0,-80.4,-169.1,0.7,0.0,-1.2
1.605,118.9,-80.5,-170.1,0.9,-0.1,-1.0
1.655,119.0,-80.6,-170.2,0.1,-0.1,-0.1
1.705,119.0,-80.6,-170.3,0.0,0.0,-0.1
1.755,119.3,-80.7,-170.7,0.3,-0.1,-0.4
1.804,119.7,-80.7,-171.1,0.4,0.0,-0.4
1.854,120.5,-80.8,-171.9,0.8,-0.1,-0.8
1.904,121.2,-80.9,-172.5,0.7,-0.1,-0.6
1.954,121.7,-80.9,-173.0,0.5,0.0,-0.5
2.004,122.4,-81.0,-173.7,0.7,-0.1,-0.7
2.054,123.1,-80.9,-174.4,0.7,0.1,-0.7
2.104,123.9,-80.9,-175.3,0.8,0.0,-0.9
2.154,124.0,-80.9,-175.6,0.1,0.0,-0.3
2.204,124.0,-80.9,-175.9,0.0,0.0,-0.3
2.254,124.5,-80.9,-176.6,0.5,0.0,-0.7
2.304,125.1,-80.9,-177.4,0.6,0.0,-0.8
2.354,125.9,-80.9,-178.2,0.8,0.0,-0.8
2.404,126.2,-80.8,-178.5,0.3,0.1,-0.3
2.453,126.3,-80.8,-178.7,0.1,0.0,-0.2
2.503,126.6,-80.8,-179.1,0.3,0.0,-0.4
2.554,127.1,-80.8,-179.7,0.5,0.0,-0.6
2.603,127.6,-80.7,179.7,0.5,0.1,359.4
2.653,128.2,-80.7,179.2,0.6,0.0,-0.5
2.703,128.4,-80.8,179.1,0.2,-0.1,-0.1
2.753,128.7,-80.7,178.8,0.3,0.1,-0.3
2.803,129.0,-80.8,178.5,0.3,-0.1,-0.3
2.853,129.4,-80.8,178.1,0.4,0.0,-0.4
2.903,129.8,-80.8,177.7,0.4,0.0,-0.4
2.953,129.9,-80.9,177.6,0.1,-0.1,-0.1
3.003,130.0,-80.9,177.4,0.1,0.0,-0.2
