Time(s),Roll(deg),Pitch(deg),Yaw(deg),Delta_Roll,Delta_Pitch,Delta_Yaw
0.032,107.8,-80.8,-80.5,0.0,0.0,0.0
0.082,107.6,-80.8,-80.3,-0.2,0.0,0.2
0.132,107.6,-80.9,-80.3,0.0,-0.1,0.0
0.181,108.5,-80.9,-81.1,0.9,0.0,-0.8
0.232,108.7,-81.0,-81.3,0.2,-0.1,-0.2
0.281,109.0,-81.1,-81.6,0.3,-0.1,-0.3
0.331,109.6,-81.1,-82.1,0.6,0.0,-0.5
0.381,110.8,-81.2,-83.1,1.2,-0.1,-1.0
0.431,112.5,-81.3,-84.4,1.7,-0.1,-1.3
0.481,113.8,-81.4,-85.3,1.3,-0.1,-0.9
0.531,115.4,-81.6,-86.7,1.6,-0.2,-1.4
0.581,117.6,-81.9,-88.6,2.2,-0.3,-1.9
0.631,120.8,-82.2,-91.5,3.2,-0.3,-2.9
0.681,124.7,-82.5,-94.9,3.9,-0.3,-3.4
0.731,128.7,-82.9,-98.4,4.0,-0.4,-3.5
0.781,134.0,-83.0,-103.0,5.3,-0.1,-4.6
0.831,138.1,-83.3,-106.4,4.1,-0.3,-3.4
0.880,142.7,-83.3,-110.3,4.6,0.0,-3.9
0.930,147.8,-83.3,-114.6,5.1,0.0,-4.3
0.980,152.1,-83.1,-118.1,4.3,0.2,-3.5
1.030,155.9,-83.0,-121.2,3.8,0.1,-3.1
1.080,158.4,-82.9,-123.3,2.5,0.1,-2.1
1.130,159.9,-82.8,-124.5,1.5,0.1,-1.2
1.180,161.1,-82.7,-125.2,1.2,0.1,-0.7
1.230,161.1,-82.8,-124.8,0.0,-0.1,0.4
1.280,161.4,-82.8,-124.5,0.3,0.0,0.3
1.330,161.7,-82.8,-124.1,0.3,0.0,0.4
1.380,161.6,-82.8,-123.3,-0.1,0.0,0.8
1.430,160.7,-82.9,-121.8,-0.9,-0.1,1.5
1.479,159.8,-82.9,-120.4,-0.9,0.0,1.4
1.529,159.4,-82.8,-119.3,-0.4,0.1,1.1
1.579,159.1,-82.9,-118.4,-0.3,-0.1,0.9
1.629,158.7,-83.2,-117.3,-0.4,-0.3,1.1
1.679,157.3,-83.6,-115.2,-1.4,-0.4,2.1
1.729,155.2,-84.5,-112.4,-2.1,-0.9,2.8
1.779,148.8,-86.1,-104.9,-6.4,-1.6,7.5
1.829,121.8,-88.0,-76.2,-27.0,-1.9,28.7
1.879,59.4,-88.4,-11.7,-62.4,-0.4,64.5
1.928,36.6,-87.8,12.8,-22.8,0.6,24.5
1.978,17.4,-87.3,33.5,-19.2,0.5,20.7
2.028,3.0,-87.5,48.7,-14.4,-0.2,15.2
2.078,-8.4,-88.3,60.0,-11.4,-0.8,11.3
2.128,-13.9,-88.0,64.7,-5.5,0.3,4.7
2.178,-19.4,-87.0,69.5,-5.5,1.0,4.8
2.228,-40.7,-87.1,90.0,-21.3,-0.1,20.5
2.278,-35.3,-86.6,84.3,5.4,0.5,-5.7
2.328,-24.3,-85.9,73.2,11.0,0.7,-11.1
2.378,-17.8,-85.7,66.5,6.5,0.2,-6.7
2.428,-13.9,-85.5,62.5,3.9,0.2,-4.0
2.478,-14.7,-85.4,63.5,-0.8,0.1,1.0
2.528,-16.6,-86.1,65.7,-1.9,-0.7,2.2
2.577,-11.9,-87.5,61.1,4.7,-1.4,-4.6
2.627,56.4,-89.2,-6.9,68.3,-1.7,-68.0
2.678,146.6,-86.9,-96.1,90.2,2.3,-89.2
2.728,133.6,-86.1,-82.2,-13.0,0.8,13.9
2.777,108.0,-86.1,-55.5,-25.6,0.0,26.7
2.827,106.5,-85.6,-52.7,-1.5,0.5,2.8
2.877,106.2,-84.9,-51.6,-0.3,0.7,1.1
2.927,94.8,-84.3,-40.0,-11.4,0.6,11.6
2.977,85.0,-84.4,-30.2,-9.8,-0.1,9.8
3.027,77.3,-84.7,-22.4,-7.7,-0.3,7.8
3.076,76.0,-84.9,-21.1,-1.3,-0.2,1.3
3.127,82.1,-85.5,-27.7,6.1,-0.6,-6.6
3.177,104.4,-86.2,-51.2,22.3,-0.7,-23.5
3.227,130.8,-86.9,-78.8,26.4,-0.7,-27.6
3.276,159.7,-87.1,-109.5,28.9,-0.2,-30.7
3.326,171.3,-88.0,-123.7,11.6,-0.9,-14.2
