Time(s),Roll(deg),Pitch(deg),Yaw(deg),Delta_Roll,Delta_Pitch,Delta_Yaw
0.000,7.0,-76.7,-101.3,0.0,0.0,0.0
0.000,67.1,-76.5,-100.5,60.1,0.2,0.8
0.000,66.9,-76.4,-100.1,-0.2,0.1,0.4
0.000,66.4,-76.5,-99.3,-0.5,-0.1,0.8
0.001,66.6,-76.8,-99.0,0.2,-0.3,0.3
0.001,66.9,-77.5,-98.6,0.3,-0.7,0.4
0.080,90.0,-76.6,-142.8,23.1,0.9,-44.2
0.130,90.3,-76.6,-143.2,0.3,0.0,-0.4
0.180,90.6,-76.8,-143.6,0.3,-0.2,-0.4
0.229,90.7,-77.1,-143.9,0.1,-0.3,-0.3
0.279,90.9,-77.4,-144.2,0.2,-0.3,-0.3
0.329,91.4,-77.8,-144.8,0.5,-0.4,-0.6
0.380,91.8,-78.2,-145.1,0.4,-0.4,-0.3
0.429,92.3,-78.5,-145.7,0.5,-0.3,-0.6
0.479,93.1,-78.9,-146.5,0.8,-0.4,-0.8
0.530,94.1,-79.2,-147.6,1.0,-0.3,-1.1
0.579,95.4,-79.6,-148.8,1.3,-0.4,-1.2
0.629,96.6,-79.9,-150.1,1.2,-0.3,-1.3
0.679,97.7,-80.2,-151.3,1.1,-0.3,-1.2
0.729,98.8,-80.4,-152.5,1.1,-0.2,-1.2
0.778,99.9,-80.6,-153.8,1.1,-0.2,-1.3
0.828,101.4,-80.8,-155.4,1.5,-0.2,-1.6
0.878,103.1,-81.1,-157.3,1.7,-0.3,-1.9
0.928,104.7,-81.3,-159.0,1.6,-0.2,-1.7
0.978,106.5,-81.5,-161.1,1.8,-0.2,-2.1
1.028,108.2,-81.8,-163.2,1.7,-0.3,-2.1
1.078,110.3,-81.9,-165.7,2.1,-0.1,-2.5
1.128,112.4,-82.0,-168.2,2.1,-0.1,-2.5
1.177,114.1,-82.1,-170.2,1.7,-0.1,-2.0
1.228,115.6,-82.1,-172.2,1.5,0.0,-2.0
1.278,116.7,-82.2,-173.8,1.1,-0.1,-1.6
1.328,116.8,-82.3,-174.3,0.1,-0.1,-0.5
1.378,116.9,-82.3,-175.0,0.1,0.0,-0.7
1.427,116.5,-82.4,-175.0,-0.4,-0.1,0.0
1.477,116.1,-82.5,-174.9,-0.4,-0.1,0.1
1.527,116.0,-82.6,-175.2,-0.1,-0.1,-0.3
1.577,116.2,-82.6,-175.8,0.2,0.0,-0.6
1.627,116.3,-82.6,-176.0,0.1,0.0,-0.2
1.677,116.3,-82.7,-176.2,0.0,-0.1,-0.2
1.727,116.2,-82.7,-176.3,-0.1,0.0,-0.1
1.777,116.1,-82.7,-176.3,-0.1,0.0,0.0
