Time(s),Roll(deg),Pitch(deg),Yaw(deg),Delta_Roll,Delta_Pitch,Delta_Yaw
0.005,115.8,-82.1,-166.0,0.0,0.0,0.0
0.055,116.0,-82.1,-166.3,0.2,0.0,-0.3
0.105,116.1,-82.1,-166.5,0.1,0.0,-0.2
0.155,116.2,-82.1,-166.7,0.1,0.0,-0.2
0.205,116.3,-82.2,-166.8,0.1,-0.1,-0.1
0.255,116.4,-82.1,-167.0,0.1,0.1,-0.2
0.304,116.6,-82.2,-167.2,0.2,-0.1,-0.2
0.354,116.9,-82.2,-167.6,0.3,0.0,-0.4
0.404,117.0,-82.3,-167.9,0.1,-0.1,-0.3
0.454,117.8,-82.4,-168.7,0.8,-0.1,-0.8
0.505,119.6,-82.8,-170.6,1.8,-0.4,-1.9
0.554,121.2,-83.3,-172.3,1.6,-0.5,-1.7
0.604,122.5,-83.8,-173.6,1.3,-0.5,-1.3
0.654,123.6,-84.3,-174.8,1.1,-0.5,-1.2
0.704,125.0,-84.7,-176.0,1.4,-0.4,-1.2
0.754,127.4,-85.0,-178.2,2.4,-0.3,-2.2
0.803,129.6,-85.2,179.5,2.2,-0.2,357.7
0.853,131.6,-85.2,177.5,2.0,0.0,-2.0
0.903,133.1,-85.3,176.0,1.5,-0.1,-1.5
0.953,134.6,-85.3,174.4,1.5,0.0,-1.6
1.003,135.7,-85.3,173.3,1.1,0.0,-1.1
1.053,136.1,-85.3,172.9,0.4,0.0,-0.4
1.103,136.1,-85.2,173.0,0.0,0.1,0.1
1.153,136.5,-85.2,172.6,0.4,0.0,-0.4
1.203,136.7,-85.2,172.3,0.2,0.0,-0.3
1.253,136.9,-85.2,172.2,0.2,0.0,-0.1
1.303,137.0,-85.2,172.0,0.1,0.0,-0.2
1.353,137.5,-85.2,171.5,0.5,0.0,-0.5
1.403,138.3,-85.2,170.7,0.8,0.0,-0.8
1.453,139.2,-85.3,169.7,0.9,-0.1,-1.0
1.502,140.5,-85.4,168.3,1.3,-0.1,-1.4
1.552,141.6,-85.4,167.1,1.1,0.0,-1.2
1.603,143.2,-85.5,165.5,1.6,-0.1,-1.6
1.652,144.6,-85.5,163.9,1.4,0.0,-1.6
1.702,145.8,-85.5,162.6,1.2,0.0,-1.3
1.752,147.2,-85.5,161.3,1.4,0.0,-1.3
1.802,148.6,-85.5,159.7,1.4,0.0,-1.6
1.852,149.8,-85.5,158.4,1.2,0.0,-1.3
1.902,150.5,-85.5,157.6,0.7,0.0,-0.8
1.952,151.1,-85.5,157.0,0.6,0.0,-0.6
2.002,151.5,-85.4,156.4,0.4,0.1,-0.6
2.052,152.1,-85.4,155.8,0.6,0.0,-0.6
2.102,152.7,-85.4,155.1,0.6,0.0,-0.7
2.151,153.3,-85.4,154.4,0.6,0.0,-0.7
2.201,154.0,-85.4,153.8,0.7,0.0,-0.6
2.251,154.9,-85.4,152.8,0.9,0.0,-1.0
2.301,155.7,-85.4,151.9,0.8,0.0,-0.9
2.351,156.7,-85.4,150.8,1.0,0.0,-1.1
2.401,157.8,-85.4,149.8,1.1,0.0,-1.0
2.451,159.2,-85.4,148.4,1.4,0.0,-1.4
2.501,160.2,-85.4,147.2,1.0,0.0,-1.2
2.551,161.1,-85.4,146.4,0.9,0.0,-0.8
2.601,161.8,-85.4,145.7,0.7,0.0,-0.7
2.651,162.5,-85.4,144.8,0.7,0.0,-0.9
2.700,163.1,-85.4,144.2,0.6,0.0,-0.6
2.750,163.7,-85.4,143.5,0.6,0.0,-0.7
2.800,164.0,-85.4,143.0,0.3,0.0,-0.5
2.850,164.3,-85.4,142.6,0.3,0.0,-0.4
2.900,164.6,-85.4,142.2,0.3,0.0,-0.4
2.950,164.7,-85.4,142.0,0.1,0.0,-0.2
3.000,164.5,-85.5,142.1,-0.2,-0.1,0.1
3.050,164.8,-85.5,141.8,0.3,0.0,-0.3
3.100,165.1,-85.4,141.4,0.3,0.1,-0.4
3.150,165.7,-85.4,140.8,0.6,0.0,-0.6
3.200,166.0,-85.3,140.5,0.3,0.1,-0.3
3.249,166.3,-85.3,140.2,0.3,0.0,-0.3
3.299,166.4,-85.3,140.0,0.1,0.0,-0.2
3.349,166.6,-85.3,139.9,0.2,0.0,-0.1
3.399,166.7,-85.3,139.7,0.1,0.0,-0.2
3.449,166.8,-85.3,139.6,0.1,0.0,-0.1
3.499,167.0,-85.2,139.4,0.2,0.1,-0.2
3.549,167.1,-85.2,139.3,0.1,0.0,-0.1
3.599,167.0,-85.3,139.4,-0.1,-0.1,0.1
3.649,167.1,-85.3,139.3,0.1,0.0,-0.1
3.699,167.3,-85.3,139.1,0.2,0.0,-0.2
3.749,167.5,-85.3,138.9,0.2,0.0,-0.2
3.799,167.7,-85.3,138.5,0.2,0.0,-0.4
3.849,167.8,-85.4,138.5,0.1,-0.1,0.0
3.898,167.8,-85.4,138.4,0.0,0.0,-0.1
3.948,168.0,-85.4,138.3,0.2,0.0,-0.1
3.998,167.9,-85.4,138.4,-0.1,0.0,0.1
4.048,167.6,-85.4,138.6,-0.3,0.0,0.2
4.098,167.4,-85.4,138.6,-0.2,0.0,0.0
4.148,167.3,-85.4,138.6,-0.1,0.0,0.0
4.198,167.1,-85.3,138.7,-0.2,0.1,0.1
4.248,167.1,-85.4,138.6,0.0,-0.1,-0.1
4.298,167.3,-85.3,138.3,0.2,0.1,-0.3
4.348,167.6,-85.3,138.0,0.3,0.0,-0.3
4.398,168.1,-85.2,137.4,0.5,0.1,-0.6
4.448,168.6,-85.2,136.9,0.5,0.0,-0.5
4.498,168.9,-85.1,136.5,0.3,0.1,-0.4
4.548,169.4,-85.1,136.0,0.5,0.0,-0.5
4.597,169.7,-85.0,135.7,0.3,0.1,-0.3
4.647,170.0,-84.9,135.2,0.3,0.1,-0.5
4.697,170.1,-84.9,135.0,0.1,0.0,-0.2
4.747,170.2,-84.9,134.8,0.1,0.0,-0.2
4.797,170.2,-84.9,134.8,0.0,0.0,0.0
4.847,170.0,-85.0,134.8,-0.2,-0.1,0.0
4.897,169.8,-85.0,134.9,-0.2,0.0,0.1
4.947,169.9,-85.1,134.8,0.1,-0.1,-0.1
4.997,169.9,-85.0,134.6,0.0,0.1,-0.2
5.047,170.0,-85.0,134.6,0.1,0.0,0.0
5.096,170.0,-84.9,134.4,0.0,0.1,-0.2
5.147,170.0,-85.0,134.3,0.0,-0.1,-0.1
5.196,170.1,-85.0,134.2,0.1,0.0,-0.1
5.246,170.0,-85.0,134.2,-0.1,0.0,0.0
5.297,170.0,-85.0,134.2,0.0,0.0,0.0
5.346,169.8,-85.0,134.3,-0.2,0.0,0.1
5.396,169.7,-85.0,134.4,-0.1,0.0,0.1
5.446,169.6,-84.9,134.4,-0.1,0.1,0.0
5.496,169.4,-85.0,134.5,-0.2,-0.1,0.1
5.546,169.2,-85.0,134.7,-0.2,0.0,0.2
5.596,169.3,-85.1,134.6,0.1,-0.1,-0.1
5.646,169.5,-85.1,134.3,0.2,0.0,-0.3
5.695,169.6,-85.1,134.3,0.1,0.0,0.0
5.746,169.6,-85.2,134.3,0.0,-0.1,0.0
5.795,169.8,-85.2,134.0,0.2,0.0,-0.3
5.845,170.4,-85.2,133.4,0.6,0.0,-0.6
5.895,171.6,-85.2,132.2,1.2,0.0,-1.2
5.945,172.6,-85.2,131.2,1.0,0.0,-1.0
5.995,173.3,-85.3,130.5,0.7,-0.1,-0.7
6.045,173.8,-85.3,130.0,0.5,0.0,-0.5
6.095,174.5,-85.3,129.4,0.7,0.0,-0.6
6.145,175.2,-85.3,128.6,0.7,0.0,-0.8
6.195,175.8,-85.3,128.0,0.6,0.0,-0.6
6.244,176.3,-85.3,127.5,0.5,0.0,-0.5
6.295,176.7,-85.3,127.1,0.4,0.0,-0.4
6.344,177.2,-85.3,126.6,0.5,0.0,-0.5
6.394,177.6,-85.3,126.3,0.4,0.0,-0.3
6.444,177.7,-85.3,126.1,0.1,0.0,-0.2
6.494,177.9,-85.3,125.9,0.2,0.0,-0.2
6.544,178.0,-85.3,125.7,0.1,0.0,-0.2
6.594,178.5,-85.2,125.2,0.5,0.1,-0.5
6.644,179.0,-85.2,124.6,0.5,0.0,-0.6
6.694,179.4,-85.2,124.1,0.4,0.0,-0.5
6.743,179.7,-85.2,123.7,0.3,0.0,-0.4
6.793,-180.0,-85.2,123.3,-359.7,0.0,-0.4
6.844,-179.5,-85.1,122.7,0.5,0.1,-0.6
6.893,-179.5,-85.2,122.7,0.0,-0.1,0.0
6.943,-179.7,-85.2,122.8,-0.2,0.0,0.1
6.993,-179.9,-85.2,122.9,-0.2,0.0,0.1
7.043,179.6,-85.2,123.3,359.5,0.0,0.4
7.093,179.3,-85.2,123.5,-0.3,0.0,0.2
7.143,179.0,-85.2,123.7,-0.3,0.0,0.2
7.192,178.7,-85.2,123.9,-0.3,0.0,0.2
7.242,178.6,-85.3,123.9,-0.1,-0.1,0.0
7.293,178.4,-85.4,124.0,-0.2,-0.1,0.1
7.343,178.2,-85.4,124.1,-0.2,0.0,0.1
7.393,178.0,-85.4,124.1,-0.2,0.0,0.0
7.443,177.6,-85.5,124.4,-0.4,-0.1,0.3
7.493,177.2,-85.5,124.7,-0.4,0.0,0.3
7.543,176.9,-85.6,124.8,-0.3,-0.1,0.1
7.592,176.5,-85.6,125.2,-0.4,0.0,0.4
7.642,176.3,-85.6,125.3,-0.2,0.0,0.1
7.692,175.9,-85.6,125.7,-0.4,0.0,0.4
7.742,175.4,-85.5,126.1,-0.5,0.1,0.4
7.792,174.8,-85.5,126.5,-0.6,0.0,0.4
7.842,174.4,-85.5,126.9,-0.4,0.0,0.4
7.892,174.1,-85.5,127.1,-0.3,0.0,0.2
7.942,173.9,-85.4,127.1,-0.2,0.1,0.0
7.992,173.8,-85.5,127.3,-0.1,-0.1,0.2
8.042,173.4,-85.4,127.6,-0.4,0.1,0.3
8.092,173.2,-85.4,127.8,-0.2,0.0,0.2
8.141,172.7,-85.3,128.2,-0.5,0.1,0.4
8.191,172.4,-85.3,128.5,-0.3,0.0,0.3
8.242,171.9,-85.3,129.0,-0.5,0.0,0.5
8.291,171.3,-85.3,129.6,-0.6,0.0,0.6
8.341,170.9,-85.3,130.0,-0.4,0.0,0.4
8.391,170.4,-85.2,130.5,-0.5,0.1,0.5
8.441,169.7,-85.1,131.2,-0.7,0.1,0.7
8.491,168.9,-85.1,132.0,-0.8,0.0,0.8
8.541,168.2,-85.0,132.7,-0.7,0.1,0.7
8.591,167.6,-84.9,133.1,-0.6,0.1,0.4
8.641,167.0,-84.9,133.7,-0.6,0.0,0.6
8.690,166.5,-84.8,134.1,-0.5,0.1,0.4
8.740,166.2,-84.8,134.4,-0.3,0.0,0.3
8.790,166.1,-84.7,134.5,-0.1,0.1,0.1
8.841,166.3,-84.7,134.2,0.2,0.0,-0.3
8.890,166.5,-84.6,134.0,0.2,0.1,-0.2
8.941,166.8,-84.5,133.8,0.3,0.1,-0.2
8.990,167.1,-84.5,133.6,0.3,0.0,-0.2
9.040,167.0,-84.5,133.8,-0.1,0.0,0.2
9.090,167.1,-84.5,133.7,0.1,0.0,-0.1
9.140,167.2,-84.5,133.6,0.1,0.0,-0.1
9.190,167.2,-84.6,133.7,0.0,-0.1,0.1
9.240,167.1,-84.6,133.8,-0.1,0.0,0.1
9.290,167.2,-84.6,133.9,0.1,0.0,0.1
9.340,167.2,-84.6,133.9,0.0,0.0,0.0
9.389,167.3,-84.5,133.7,0.1,0.1,-0.2
9.439,167.3,-84.4,133.6,0.0,0.1,-0.1
9.489,167.4,-84.4,133.6,0.1,0.0,0.0
9.539,167.3,-84.4,133.7,-0.1,0.0,0.1
9.589,167.0,-84.3,134.0,-0.3,0.1,0.3
9.639,166.5,-84.3,134.5,-0.5,0.0,0.5
9.689,166.3,-84.3,134.7,-0.2,0.0,0.2
9.739,166.4,-84.2,134.5,0.1,0.1,-0.2
9.789,166.1,-84.2,134.8,-0.3,0.0,0.3
9.839,165.8,-84.1,135.1,-0.3,0.1,0.3
9.889,165.6,-83.9,135.2,-0.2,0.2,0.1
9.939,165.8,-83.9,134.9,0.2,0.0,-0.3
9.988,165.8,-83.9,134.9,0.0,0.0,0.0
10.038,166.2,-84.0,134.4,0.4,-0.1,-0.5
10.088,166.5,-84.0,134.1,0.3,0.0,-0.3
10.138,167.1,-84.0,133.5,0.6,0.0,-0.6
10.188,167.9,-84.1,132.8,0.8,-0.1,-0.7
10.238,168.6,-84.2,132.1,0.7,-0.1,-0.7
10.288,169.2,-84.3,131.5,0.6,-0.1,-0.6
10.338,170.0,-84.4,130.7,0.8,-0.1,-0.8
10.388,170.6,-84.4,130.0,0.6,0.0,-0.7
10.438,171.3,-84.3,129.2,0.7,0.1,-0.8
10.488,171.8,-84.5,128.6,0.5,-0.2,-0.6
10.538,172.1,-84.5,128.2,0.3,0.0,-0.4
10.588,172.3,-84.5,127.9,0.2,0.0,-0.3
10.637,172.2,-84.6,127.9,-0.1,-0.1,0.0
10.687,171.7,-84.5,128.3,-0.5,0.1,0.4
10.737,171.3,-84.5,128.6,-0.4,0.0,0.3
10.787,171.0,-84.5,129.0,-0.3,0.0,0.4
10.837,170.8,-84.3,129.0,-0.2,0.2,0.0
10.887,170.6,-84.3,129.2,-0.2,0.0,0.2
10.937,170.3,-84.3,129.5,-0.3,0.0,0.3
10.987,170.1,-84.3,129.7,-0.2,0.0,0.2
11.037,169.8,-84.3,130.0,-0.3,0.0,0.3
11.087,169.6,-84.2,130.1,-0.2,0.1,0.1
11.136,169.8,-84.2,129.9,0.2,0.0,-0.2
11.186,169.9,-84.2,129.8,0.1,0.0,-0.1
11.236,169.7,-84.3,129.9,-0.2,-0.1,0.1
11.286,169.8,-84.2,129.8,0.1,0.1,-0.1
11.336,169.8,-84.3,129.8,0.0,-0.1,0.0
11.386,170.1,-84.2,129.6,0.3,0.1,-0.2
11.436,170.5,-84.2,129.2,0.4,0.0,-0.4
11.486,171.0,-84.2,128.7,0.5,0.0,-0.5
11.536,171.3,-84.1,128.3,0.3,0.1,-0.4
11.586,171.8,-84.1,127.9,0.5,0.0,-0.4
11.636,172.4,-84.1,127.3,0.6,0.0,-0.6
