Time(s),Roll(deg),Pitch(deg),Yaw(deg),Delta_Roll,Delta_Pitch,Delta_Yaw
0.007,84.3,-77.2,-133.4,0.0,0.0,0.0
0.056,84.9,-77.4,-134.1,0.6,-0.2,-0.7
0.106,85.0,-77.6,-134.3,0.1,-0.2,-0.2
0.156,85.6,-78.0,-134.9,0.6,-0.4,-0.6
0.206,86.3,-78.3,-135.8,0.7,-0.3,-0.9
0.256,87.3,-78.8,-137.0,1.0,-0.5,-1.2
0.306,88.2,-79.2,-138.1,0.9,-0.4,-1.1
0.356,89.2,-79.7,-139.3,1.0,-0.5,-1.2
0.406,90.6,-80.2,-140.9,1.4,-0.5,-1.6
0.456,91.6,-80.6,-142.1,1.0,-0.4,-1.2
0.506,92.7,-80.9,-143.4,1.1,-0.3,-1.3
0.556,94.0,-81.2,-144.9,1.3,-0.3,-1.5
0.606,95.2,-81.5,-146.3,1.2,-0.3,-1.4
0.655,96.6,-81.7,-147.9,1.4,-0.2,-1.6
0.705,98.2,-81.8,-149.6,1.6,-0.1,-1.7
0.755,99.8,-81.9,-151.3,1.6,-0.1,-1.7
0.805,101.1,-82.0,-152.9,1.3,-0.1,-1.6
0.855,102.5,-82.0,-154.5,1.4,0.0,-1.6
0.905,103.4,-82.1,-155.7,0.9,-0.1,-1.2
0.955,105.4,-82.2,-157.9,2.0,-0.1,-2.2
1.005,108.1,-82.3,-160.7,2.7,-0.1,-2.8
1.055,107.9,-82.3,-160.5,-0.2,0.0,0.2
1.105,108.6,-82.4,-161.2,0.7,-0.1,-0.7
1.155,109.9,-82.3,-162.6,1.3,0.1,-1.4
1.205,111.9,-82.4,-164.9,2.0,-0.1,-2.3
1.255,114.5,-82.4,-167.7,2.6,0.0,-2.8
1.304,117.0,-82.4,-170.4,2.5,0.0,-2.7
1.354,119.1,-82.5,-172.7,2.1,-0.1,-2.3
1.404,120.7,-82.5,-174.4,1.6,0.0,-1.7
1.454,122.7,-82.6,-176.5,2.0,-0.1,-2.1
1.504,124.7,-82.6,-178.7,2.0,0.0,-2.2
1.554,126.6,-82.6,179.3,1.9,0.0,358.0
1.604,128.5,-82.6,177.2,1.9,0.0,-2.1
1.654,131.0,-82.6,174.8,2.5,0.0,-2.4
1.704,132.6,-82.6,173.3,1.6,0.0,-1.5
1.753,133.7,-82.6,172.3,1.1,0.0,-1.0
1.804,134.8,-82.7,171.1,1.1,-0.1,-1.2
1.853,135.1,-82.7,170.8,0.3,0.0,-0.3
1.903,135.0,-82.6,170.7,-0.1,0.1,-0.1
1.953,134.7,-82.6,170.8,-0.3,0.0,0.1
2.003,134.3,-82.6,171.0,-0.4,0.0,0.2
2.054,134.3,-82.6,170.9,0.0,0.0,-0.1
2.103,134.3,-82.6,170.7,0.0,0.0,-0.2
2.153,133.8,-82.6,170.9,-0.5,0.0,0.2
2.203,134.1,-82.5,170.2,0.3,0.1,-0.7
2.253,134.0,-82.5,170.2,-0.1,0.0,0.0
2.303,133.3,-82.5,170.7,-0.7,0.0,0.5
2.353,133.2,-82.5,170.6,-0.1,0.0,-0.1
2.402,133.8,-82.5,169.8,0.6,0.0,-0.8
2.453,134.5,-82.4,169.0,0.7,0.1,-0.8
2.502,135.3,-82.4,168.2,0.8,0.0,-0.8
2.552,135.9,-82.4,167.5,0.6,0.0,-0.7
2.602,136.8,-82.4,166.6,0.9,0.0,-0.9
2.653,137.2,-82.4,166.2,0.4,0.0,-0.4
2.702,137.3,-82.4,166.0,0.1,0.0,-0.2
2.752,137.6,-82.3,165.8,0.3,0.1,-0.2
2.802,137.6,-82.4,165.7,0.0,-0.1,-0.1
2.852,137.7,-82.4,165.7,0.1,0.0,0.0
2.902,137.5,-82.4,166.0,-0.2,0.0,0.3
2.952,137.4,-82.4,166.2,-0.1,0.0,0.2
3.002,137.2,-82.4,166.2,-0.2,0.0,0.0
3.052,137.0,-82.4,166.3,-0.2,0.0,0.1
3.101,136.7,-82.4,166.5,-0.3,0.0,0.2
3.151,136.3,-82.4,166.7,-0.4,0.0,0.2
3.201,136.0,-82.4,166.8,-0.3,0.0,0.1
3.251,134.9,-82.6,167.9,-1.1,-0.2,1.1
3.301,134.3,-82.6,168.4,-0.6,0.0,0.5
3.351,134.5,-82.5,168.0,0.2,0.1,-0.4
3.401,134.9,-82.5,167.3,0.4,0.0,-0.7
3.451,135.0,-82.5,167.1,0.1,0.0,-0.2
3.501,135.4,-82.5,166.5,0.4,0.0,-0.6
3.551,135.5,-82.5,166.2,0.1,0.0,-0.3
3.601,135.6,-82.5,166.1,0.1,0.0,-0.1
3.651,135.7,-82.5,165.8,0.1,0.0,-0.3
3.701,135.9,-82.5,165.5,0.2,0.0,-0.3
3.750,136.3,-82.5,165.0,0.4,0.0,-0.5
3.800,136.7,-82.4,164.6,0.4,0.1,-0.4
3.850,137.0,-82.4,164.3,0.3,0.0,-0.3
3.900,137.3,-82.4,163.9,0.3,0.0,-0.4
3.950,137.5,-82.3,163.6,0.2,0.1,-0.3
4.000,137.6,-82.3,163.5,0.1,0.0,-0.1
4.050,137.5,-82.3,163.4,-0.1,0.0,-0.1
4.100,137.6,-82.3,163.2,0.1,0.0,-0.2
4.150,137.6,-82.4,163.1,0.0,-0.1,-0.1
4.200,137.7,-82.4,162.9,0.1,0.0,-0.2
4.249,137.6,-82.4,162.9,-0.1,0.0,0.0
4.299,137.5,-82.4,162.9,-0.1,0.0,0.0
4.349,137.4,-82.4,162.8,-0.1,0.0,-0.1
4.399,137.4,-82.4,162.7,0.0,0.0,-0.1
4.449,137.3,-82.4,162.7,-0.1,0.0,0.0
4.499,137.4,-82.3,162.6,0.1,0.1,-0.1
4.549,137.3,-82.3,162.8,-0.1,0.0,0.2
4.599,136.9,-82.3,163.1,-0.4,0.0,0.3
4.649,136.9,-82.3,163.2,0.0,0.0,0.1
4.699,136.7,-82.3,163.2,-0.2,0.0,0.0
4.749,136.4,-82.3,163.4,-0.3,0.0,0.2
4.799,136.1,-82.3,163.8,-0.3,0.0,0.4
4.849,135.6,-82.3,164.2,-0.5,0.0,0.4
4.899,135.3,-82.4,164.4,-0.3,-0.1,0.2
4.948,135.0,-82.3,164.5,-0.3,0.1,0.1
4.998,134.8,-82.4,164.4,-0.2,-0.1,-0.1
5.048,134.5,-82.4,164.3,-0.3,0.0,-0.1
5.098,134.5,-82.5,164.0,0.0,-0.1,-0.3
5.148,134.5,-82.5,163.7,0.0,0.0,-0.3
5.198,134.5,-82.6,163.5,0.0,-0.1,-0.2
5.248,134.7,-82.6,162.9,0.2,0.0,-0.6
5.298,135.0,-82.6,162.1,0.3,0.0,-0.8
5.348,135.3,-82.7,161.3,0.3,-0.1,-0.8
5.398,135.4,-82.8,160.8,0.1,-0.1,-0.5
5.448,135.4,-83.0,160.3,0.0,-0.2,-0.5
5.498,135.5,-83.1,159.5,0.1,-0.1,-0.8
5.547,135.7,-83.4,158.6,0.2,-0.3,-0.9
5.597,135.9,-83.6,157.6,0.2,-0.2,-1.0
5.647,135.8,-83.9,156.9,-0.1,-0.3,-0.7
5.697,135.0,-84.2,156.9,-0.8,-0.3,0.0
5.747,132.8,-84.6,158.1,-2.2,-0.4,1.2
5.797,129.9,-84.9,159.8,-2.9,-0.3,1.7
5.847,126.7,-85.3,161.9,-3.2,-0.4,2.1
5.897,123.2,-85.6,164.1,-3.5,-0.3,2.2
5.947,118.8,-85.9,167.1,-4.4,-0.3,3.0
5.997,112.9,-86.3,171.9,-5.9,-0.4,4.8
6.046,106.5,-86.7,177.2,-6.4,-0.4,5.3
6.096,98.1,-87.1,-175.3,-8.4,-0.4,-352.5
6.146,88.0,-87.4,-166.0,-10.1,-0.3,9.3
6.196,77.6,-87.4,-156.3,-10.4,0.0,9.7
6.246,69.6,-87.4,-149.0,-8.0,0.0,7.3
6.296,63.5,-87.1,-143.6,-6.1,0.3,5.4
6.346,59.6,-87.1,-140.3,-3.9,0.0,3.3
6.396,62.3,-87.0,-143.6,2.7,0.1,-3.3
6.446,78.2,-87.1,-159.7,15.9,-0.1,-16.1
6.496,94.5,-87.0,-176.0,16.3,0.1,-16.3
6.546,106.0,-86.9,172.9,11.5,0.1,348.9
6.596,108.9,-86.5,170.2,2.9,0.4,-2.7
6.645,111.8,-86.0,167.6,2.9,0.5,-2.6
6.696,113.4,-85.6,166.0,1.6,0.4,-1.6
6.745,113.7,-85.2,166.0,0.3,0.4,0.0
6.795,113.0,-84.9,167.2,-0.7,0.3,1.2
6.845,112.7,-84.6,168.1,-0.3,0.3,0.9
6.895,112.0,-84.4,169.4,-0.7,0.2,1.3
6.945,110.6,-84.2,171.3,-1.4,0.2,1.9
6.995,109.5,-84.0,172.7,-1.1,0.2,1.4
7.044,109.1,-83.8,173.2,-0.4,0.2,0.5
7.095,109.6,-83.7,172.7,0.5,0.1,-0.5
7.145,112.7,-83.5,169.5,3.1,0.2,-3.2
7.195,116.2,-83.4,165.7,3.5,0.1,-3.8
7.245,120.0,-83.1,161.4,3.8,0.3,-4.3
7.295,122.5,-82.7,158.1,2.5,0.4,-3.3
7.344,123.8,-82.4,156.0,1.3,0.3,-2.1
7.394,126.1,-82.1,152.8,2.3,0.3,-3.2
7.444,128.2,-82.1,150.0,2.1,0.0,-2.8
7.494,130.1,-81.9,147.4,1.9,0.2,-2.6
7.544,131.2,-81.8,145.5,1.1,0.1,-1.9
7.594,131.8,-81.6,144.2,0.6,0.2,-1.3
7.644,132.8,-81.4,142.5,1.0,0.2,-1.7
7.694,133.8,-81.3,140.9,1.0,0.1,-1.6
7.744,134.8,-81.3,139.4,1.0,0.0,-1.5
7.794,135.5,-81.3,138.0,0.7,0.0,-1.4
7.844,136.4,-81.4,136.5,0.9,-0.1,-1.5
7.894,137.6,-81.5,134.8,1.2,-0.1,-1.7
7.943,138.1,-81.7,134.0,0.5,-0.2,-0.8
7.994,138.6,-81.9,133.1,0.5,-0.2,-0.9
8.043,139.5,-82.0,131.7,0.9,-0.1,-1.4
8.093,140.7,-82.0,130.0,1.2,0.0,-1.7
8.143,141.8,-82.0,128.6,1.1,0.0,-1.4
8.193,142.9,-82.0,127.3,1.1,0.0,-1.3
8.243,143.9,-82.0,125.9,1.0,0.0,-1.4
8.293,144.5,-82.1,125.0,0.6,-0.1,-0.9
8.343,144.6,-82.2,124.7,0.1,-0.1,-0.3
8.393,144.4,-82.3,124.8,-0.2,-0.1,0.1
8.443,143.6,-82.5,125.3,-0.8,-0.2,0.5
8.493,142.9,-82.7,125.9,-0.7,-0.2,0.6
