Time(s),Roll(deg),Pitch(deg),Yaw(deg),Delta_Roll,Delta_Pitch,Delta_Yaw
0.039,-158.6,-88.1,-171.7,0.0,0.0,0.0
0.089,-163.1,-88.0,-167.1,-4.5,0.1,4.6
0.139,-154.5,-88.1,-175.3,8.6,-0.1,-8.2
0.189,-146.7,-88.5,177.2,7.8,-0.4,352.5
0.239,-140.3,-88.5,170.7,6.4,0.0,-6.5
0.289,-137.0,-88.4,167.5,3.3,0.1,-3.2
0.340,-135.0,-88.3,165.4,2.0,0.1,-2.1
0.388,-120.5,-88.1,151.5,14.5,0.2,-13.9
0.438,-112.1,-87.7,144.0,8.4,0.4,-7.5
0.488,-97.9,-87.1,130.8,14.2,0.6,-13.2
0.538,-90.1,-86.6,123.8,7.8,0.5,-7.0
0.588,-84.6,-85.9,118.6,5.5,0.7,-5.2
0.638,-83.0,-85.4,117.5,1.6,0.5,-1.1
0.688,-82.9,-85.2,117.8,0.1,0.2,0.3
0.738,-82.6,-84.8,117.7,0.3,0.4,-0.1
0.788,-82.3,-84.6,117.6,0.3,0.2,-0.1
0.838,-80.0,-84.3,115.6,2.3,0.3,-2.0
0.887,-80.2,-84.2,115.9,-0.2,0.1,0.3
0.938,-80.7,-84.1,116.7,-0.5,0.1,0.8
0.987,-79.1,-83.9,115.6,1.6,0.2,-1.1
1.037,-76.8,-83.6,113.8,2.3,0.3,-1.8
1.087,-76.1,-83.4,113.4,0.7,0.2,-0.4
1.137,-75.8,-83.3,113.1,0.3,0.1,-0.3
1.187,-75.8,-83.2,113.3,0.0,0.1,0.2
1.238,-75.1,-83.0,112.3,0.7,0.2,-1.0
1.287,-74.5,-82.8,111.1,0.6,0.2,-1.2
1.337,-78.5,-83.0,114.7,-4.0,-0.2,3.6
1.387,-81.0,-83.0,117.1,-2.5,0.0,2.4
1.437,-78.0,-82.7,114.6,3.0,0.3,-2.5
1.486,-74.4,-82.4,111.1,3.6,0.3,-3.5
1.536,-72.7,-82.3,109.4,1.7,0.1,-1.7
