Time(s),Roll(deg),Pitch(deg),Yaw(deg)
0.000,0.0,-72.55,-35.41
0.000,16.62,-72.55,-35.7
0.001,16.72,-72.55,-35.92
0.001,16.7,-72.6,-35.99
0.001,16.57,-72.64,-35.93
0.001,16.31,-72.78,-35.52
0.001,16.12,-73.0,-34.96
0.001,15.88,-73.11,-34.3
0.083,17.0,-75.34,-32.57
0.133,17.11,-75.36,-32.78
0.183,17.15,-75.4,-32.86
0.233,17.52,-75.54,-33.2
0.283,17.95,-75.7,-33.68
0.333,18.29,-75.86,-33.95
0.383,18.62,-75.96,-34.22
0.433,19.17,-76.03,-34.76
0.483,19.45,-76.16,-35.0
0.533,19.63,-76.32,-35.08
0.582,19.58,-76.49,-34.82
0.632,19.39,-76.74,-34.3
0.682,19.02,-77.01,-33.63
0.732,18.39,-77.3,-32.72
0.782,17.54,-77.57,-31.59
0.832,16.54,-77.93,-30.35
0.882,15.34,-78.25,-28.94
0.932,14.2,-78.6,-27.68
0.982,12.87,-78.83,-26.01
1.032,11.81,-78.96,-24.79
1.082,10.89,-79.17,-23.95
1.131,9.71,-79.45,-22.65
1.181,8.74,-79.67,-21.42
1.231,8.02,-79.8,-20.39
1.281,7.34,-79.86,-19.59
1.331,7.0,-80.17,-18.94
1.381,7.03,-80.56,-18.38
1.431,7.73,-80.85,-18.8
1.481,7.69,-81.13,-18.69
1.530,7.31,-81.41,-17.99
1.580,7.05,-81.67,-17.46
1.630,6.87,-82.12,-17.01
1.680,7.38,-82.51,-17.3
1.730,8.02,-82.91,-17.68
1.780,8.31,-83.3,-17.63
1.830,9.14,-83.61,-18.19
1.880,9.96,-84.06,-18.64
1.930,11.51,-84.35,-19.92
1.980,12.33,-84.48,-20.64
2.030,11.93,-84.42,-20.13
2.080,12.67,-84.31,-20.84
2.130,14.49,-84.35,-22.57
2.180,16.32,-84.48,-24.26
2.230,18.35,-84.69,-26.22
2.280,20.35,-84.76,-28.18
2.330,22.76,-84.9,-30.63
2.380,24.93,-84.93,-32.95
2.429,26.4,-84.97,-34.57
2.479,25.84,-85.09,-34.2
2.529,24.96,-85.27,-33.42
2.579,22.81,-85.39,-31.24
2.629,21.85,-85.61,-30.45
2.679,20.18,-85.78,-28.83
2.729,18.81,-85.91,-27.49
2.779,17.1,-86.01,-25.81
2.829,13.34,-86.22,-22.2
2.879,9.58,-86.16,-18.51
2.928,7.1,-86.24,-16.03
