Time(s),Roll(deg),Pitch(deg),Yaw(deg),Delta_Roll,Delta_Pitch,Delta_Yaw
0.047,54.93,82.7,0.18,0.0,0.0,0.0
0.097,54.7,82.7,-0.08,-0.23,0.0,-0.26
0.146,54.45,82.74,-0.34,-0.25,0.04,-0.26
0.197,53.97,82.82,-0.86,-0.48,0.08,-0.52
0.247,53.51,82.84,-1.33,-0.46,0.02,-0.47
0.297,53.02,82.84,-1.83,-0.49,0.0,-0.5
0.348,52.6,82.8,-2.25,-0.42,-0.04,-0.42
0.398,52.19,82.75,-2.59,-0.41,-0.05,-0.34
0.448,51.57,82.75,-3.23,-0.62,0.0,-0.64
0.498,50.52,82.7,-4.31,-1.05,-0.05,-1.08
0.549,49.89,82.75,-5.13,-0.63,0.05,-0.82
0.598,48.79,82.74,-6.41,-1.1,-0.01,-1.28
0.649,47.94,82.71,-7.43,-0.85,-0.03,-1.02
0.699,47.13,82.66,-8.36,-0.81,-0.05,-0.93
0.749,46.41,82.69,-9.19,-0.72,0.03,-0.83
0.799,45.94,82.65,-9.7,-0.47,-0.04,-0.51
0.849,45.63,82.63,-10.02,-0.31,-0.02,-0.32
0.899,45.35,82.69,-10.37,-0.28,0.06,-0.35
0.949,45.27,82.71,-10.49,-0.08,0.02,-0.12
0.999,44.82,82.77,-11.01,-0.45,0.06,-0.52
1.050,44.47,82.78,-11.4,-0.35,0.01,-0.39
1.099,44.25,82.81,-11.7,-0.22,0.03,-0.3
1.149,43.89,82.85,-12.16,-0.36,0.04,-0.46
1.199,43.55,82.89,-12.53,-0.34,0.04,-0.37
1.249,42.98,82.9,-13.12,-0.57,0.01,-0.59
1.299,42.44,82.91,-13.74,-0.54,0.01,-0.62
1.350,42.0,82.9,-14.27,-0.44,-0.01,-0.53
1.400,41.64,82.89,-14.72,-0.36,-0.01,-0.45
1.450,41.29,82.88,-15.12,-0.35,-0.01,-0.4
1.501,41.18,82.9,-15.32,-0.11,0.02,-0.2
1.549,40.89,82.91,-15.65,-0.29,0.01,-0.33
1.601,40.66,82.92,-15.93,-0.23,0.01,-0.28
1.651,40.39,82.88,-16.2,-0.27,-0.04,-0.27
1.700,40.13,82.91,-16.54,-0.26,0.03,-0.34
1.750,39.76,82.86,-16.95,-0.37,-0.05,-0.41
1.801,39.26,82.83,-17.57,-0.5,-0.03,-0.62
1.850,38.94,82.81,-18.03,-0.32,-0.02,-0.46
1.902,38.61,82.78,-18.54,-0.33,-0.03,-0.51
1.952,38.4,82.74,-18.89,-0.21,-0.04,-0.35
2.001,38.39,82.74,-19.04,-0.01,0.0,-0.15
2.051,38.45,82.74,-19.08,0.06,0.0,-0.04
2.102,38.81,82.83,-18.84,0.36,0.09,0.24
2.152,39.17,82.83,-18.55,0.36,0.0,0.29
2.202,39.41,82.86,-18.37,0.24,0.03,0.18
2.252,39.77,82.93,-18.1,0.36,0.07,0.27
2.302,40.04,82.95,-17.84,0.27,0.02,0.26
2.352,40.16,83.0,-17.73,0.12,0.05,0.11
2.402,40.43,83.06,-17.49,0.27,0.06,0.24
2.452,40.57,83.14,-17.37,0.14,0.08,0.12
2.502,40.82,83.14,-17.05,0.25,0.0,0.32
2.552,41.02,83.2,-16.84,0.2,0.06,0.21
2.602,41.2,83.26,-16.63,0.18,0.06,0.21
2.652,41.33,83.31,-16.51,0.13,0.05,0.12
2.703,41.26,83.34,-16.57,-0.07,0.03,-0.06
2.752,41.45,83.38,-16.41,0.19,0.04,0.16
2.802,41.34,83.37,-16.54,-0.11,-0.01,-0.13
2.853,41.2,83.35,-16.69,-0.14,-0.02,-0.15
2.902,41.14,83.34,-16.76,-0.06,-0.01,-0.07
2.953,41.09,83.32,-16.82,-0.05,-0.02,-0.06
3.003,41.01,83.32,-16.94,-0.08,0.0,-0.12
3.054,41.15,83.32,-16.81,0.14,0.0,0.13
3.103,41.28,83.36,-16.73,0.13,0.04,0.08
3.154,41.24,83.35,-16.78,-0.04,-0.01,-0.05
3.204,41.14,83.35,-16.88,-0.1,0.0,-0.1
3.253,41.05,83.32,-16.95,-0.09,-0.03,-0.07
3.304,40.87,83.28,-17.11,-0.18,-0.04,-0.16
3.354,40.66,83.27,-17.31,-0.21,-0.01,-0.2
3.405,40.53,83.26,-17.46,-0.13,-0.01,-0.15
3.454,40.42,83.19,-17.56,-0.11,-0.07,-0.1
3.505,40.34,83.19,-17.68,-0.08,0.0,-0.12
3.554,40.29,83.18,-17.74,-0.05,-0.01,-0.06
3.605,40.26,83.2,-17.8,-0.03,0.02,-0.06
3.655,40.33,83.17,-17.74,0.07,-0.03,0.06
3.704,40.38,83.21,-17.73,0.05,0.04,0.01
3.754,40.42,83.2,-17.68,0.04,-0.01,0.05
3.805,40.52,83.2,-17.6,0.1,0.0,0.08
3.855,40.75,83.23,-17.39,0.23,0.03,0.21
3.905,40.93,83.2,-17.2,0.18,-0.03,0.19
3.955,41.1,83.23,-17.06,0.17,0.03,0.14
4.005,41.37,83.24,-16.84,0.27,0.01,0.22
4.056,41.83,83.26,-16.42,0.46,0.02,0.42
4.105,42.33,83.35,-16.03,0.5,0.09,0.39
4.156,43.07,83.4,-15.33,0.74,0.05,0.7
4.205,43.96,83.48,-14.48,0.89,0.08,0.85
4.255,45.48,83.62,-12.98,1.52,0.14,1.5
4.306,47.17,83.8,-11.37,1.69,0.18,1.61
4.356,49.41,84.01,-9.27,2.24,0.21,2.1
4.406,52.07,84.25,-6.7,2.66,0.24,2.57
4.455,55.58,84.5,-3.18,3.51,0.25,3.52
4.506,59.8,84.73,1.11,4.22,0.23,4.29
4.556,65.62,85.09,6.91,5.82,0.36,5.8
4.607,74.11,85.4,15.41,8.49,0.31,8.5
4.657,85.59,85.68,26.92,11.48,0.28,11.51
4.706,100.38,85.69,41.78,14.79,0.01,14.86
4.757,116.77,85.38,58.26,16.39,-0.31,16.48
4.806,131.8,84.51,73.39,15.03,-0.87,15.13
4.857,144.17,83.28,85.88,12.37,-1.23,12.49
4.907,152.23,81.81,93.97,8.06,-1.47,8.09
4.957,157.83,80.16,99.58,5.6,-1.65,5.61
5.006,161.9,78.38,103.65,4.07,-1.78,4.07
5.057,165.16,76.28,106.94,3.26,-2.1,3.29
5.108,167.45,74.21,109.31,2.29,-2.07,2.37
5.158,169.34,72.1,111.29,1.89,-2.11,1.98
5.208,170.9,69.89,112.91,1.56,-2.21,1.62
5.258,172.24,67.71,114.19,1.34,-2.18,1.28
5.308,173.36,65.54,115.21,1.12,-2.17,1.02
5.358,174.36,63.31,116.07,1.0,-2.23,0.86
5.408,175.1,61.15,116.7,0.74,-2.16,0.63
5.458,175.76,58.99,117.31,0.66,-2.16,0.61
5.507,176.22,56.88,117.69,0.46,-2.11,0.38
5.558,176.56,54.78,118.01,0.34,-2.1,0.32
5.609,176.89,52.66,118.28,0.33,-2.12,0.27
5.658,177.22,50.45,118.54,0.33,-2.21,0.26
5.709,177.5,48.19,118.76,0.28,-2.26,0.22
5.758,177.81,45.73,119.0,0.31,-2.46,0.24
5.809,178.22,43.44,119.24,0.41,-2.29,0.24
5.859,178.63,41.15,119.48,0.41,-2.29,0.24
5.909,179.04,38.87,119.72,0.41,-2.28,0.24
5.960,179.22,36.81,119.88,0.18,-2.06,0.16
6.009,179.34,34.79,120.05,0.12,-2.02,0.17
6.060,179.47,33.04,120.24,0.13,-1.75,0.19
6.109,179.53,31.3,120.5,0.06,-1.74,0.26
6.160,179.51,29.59,120.71,-0.02,-1.71,0.21
6.209,179.44,27.9,120.89,-0.07,-1.69,0.18
6.260,179.38,26.32,121.07,-0.06,-1.58,0.18
