Time(s),Roll(deg),Pitch(deg),Yaw(deg),Delta_Roll,Delta_Pitch,Delta_Yaw
0.043,49.9,-56.3,-19.1,0.0,0.0,0.0
0.093,50.0,-56.3,-19.2,0.1,0.0,-0.1
0.143,50.1,-56.2,-19.4,0.1,0.1,-0.2
0.193,50.2,-56.2,-19.6,0.1,0.0,-0.2
0.243,50.3,-56.2,-19.8,0.1,0.0,-0.2
0.293,50.4,-56.2,-20.0,0.1,0.0,-0.2
0.343,50.5,-56.3,-20.2,0.1,-0.1,-0.2
0.392,50.6,-56.5,-20.5,0.1,-0.2,-0.3
0.441,50.8,-56.7,-20.7,0.2,-0.2,-0.2
0.491,51.0,-57.0,-20.8,0.2,-0.3,-0.1
0.542,51.3,-57.3,-21.1,0.3,-0.3,-0.3
0.592,51.6,-57.7,-21.4,0.3,-0.4,-0.3
0.642,51.8,-58.3,-21.5,0.2,-0.6,-0.1
0.692,51.9,-59.0,-21.4,0.1,-0.7,0.1
0.741,51.8,-59.7,-21.2,-0.1,-0.7,0.2
0.792,51.9,-60.5,-21.1,0.1,-0.8,0.1
0.842,51.9,-61.5,-21.1,0.0,-1.0,0.0
0.891,52.1,-62.7,-21.3,0.2,-1.2,-0.2
0.940,52.4,-64.0,-21.4,0.3,-1.3,-0.1
0.991,52.9,-65.3,-21.6,0.5,-1.3,-0.2
1.041,53.6,-66.6,-21.8,0.7,-1.3,-0.2
1.091,54.3,-67.8,-21.9,0.7,-1.2,-0.1
1.140,55.2,-69.0,-22.0,0.9,-1.2,-0.1
1.191,55.7,-70.0,-21.9,0.5,-1.0,0.1
1.240,56.4,-71.0,-22.0,0.7,-1.0,-0.1
1.291,57.0,-72.1,-22.0,0.6,-1.1,0.0
1.341,57.7,-73.2,-22.2,0.7,-1.1,-0.2
1.390,58.5,-74.1,-22.6,0.8,-0.9,-0.4
1.441,60.0,-75.0,-23.7,1.5,-0.9,-1.1
1.491,62.0,-75.9,-25.2,2.0,-0.9,-1.5
1.540,64.6,-76.7,-27.7,2.6,-0.8,-2.5
1.590,67.3,-77.5,-30.3,2.7,-0.8,-2.6
1.640,69.6,-78.2,-32.6,2.3,-0.7,-2.3
1.690,72.0,-78.7,-35.0,2.4,-0.5,-2.4
1.740,75.0,-79.3,-37.9,3.0,-0.6,-2.9
1.790,77.9,-79.8,-40.8,2.9,-0.5,-2.9
1.840,81.3,-80.2,-44.1,3.4,-0.4,-3.3
1.890,84.6,-80.5,-47.5,3.3,-0.3,-3.4
1.940,87.4,-80.7,-50.2,2.8,-0.2,-2.7
1.990,89.9,-81.0,-52.6,2.5,-0.3,-2.4
2.040,92.5,-81.2,-55.2,2.6,-0.2,-2.6
2.090,94.5,-81.3,-57.1,2.0,-0.1,-1.9
2.140,96.6,-81.4,-59.1,2.1,-0.1,-2.0
2.189,98.2,-81.4,-60.7,1.6,0.0,-1.6
2.239,98.5,-81.4,-61.1,0.3,0.0,-0.4
2.289,98.1,-81.3,-60.6,-0.4,0.1,0.5
2.339,97.9,-81.2,-60.5,-0.2,0.1,0.1
2.389,97.3,-81.2,-60.0,-0.6,0.0,0.5
2.439,96.9,-81.1,-59.8,-0.4,0.1,0.2
2.489,96.6,-81.1,-59.4,-0.3,0.0,0.4
2.539,96.0,-81.1,-58.9,-0.6,0.0,0.5
2.588,95.7,-81.0,-58.6,-0.3,0.1,0.3
2.639,95.2,-81.0,-58.2,-0.5,0.0,0.4
2.688,95.1,-81.0,-58.0,-0.1,0.0,0.2
2.739,94.9,-81.0,-57.9,-0.2,0.0,0.1
2.788,95.0,-80.9,-58.0,0.1,0.1,-0.1
2.838,94.8,-80.9,-57.8,-0.2,0.0,0.2
2.888,94.6,-80.9,-57.5,-0.2,0.0,0.3
2.938,94.7,-80.9,-57.6,0.1,0.0,-0.1
2.987,94.7,-80.8,-57.5,0.0,0.1,0.1
