Time(s),Raw_Roll,Raw_Pitch,Raw_Yaw,Filtered_Roll,Filtered_Pitch,Filtered_Yaw,Delta_Roll,Delta_Pitch,Delta_Yaw
0.001,73.0,-74.9,-53.9,73.0,-74.9,-53.9,0.0,0.0,0.0
0.001,73.0,-75.0,-53.7,73.0,-74.98,-53.74,0.0,-0.08,0.16
0.001,73.0,-75.2,-53.5,73.0,-75.156,-53.548,0.0,-0.176,0.192
0.001,73.1,-75.3,-53.3,73.08,-75.2712,-53.3496,0.08,-0.1152,0.1984
0.001,73.1,-75.4,-53.1,73.096,-75.3742,-53.1499,0.016,-0.103,0.1997
0.001,73.1,-75.5,-53.0,73.0992,-75.4748,-53.03,0.0032,-0.1006,0.1199
0.064,84.1,-78.4,-61.7,73.6492,-77.815,-53.4635,0.55,-2.3401,-0.4335
0.114,84.5,-78.6,-62.0,74.1918,-78.443,-53.8903,0.5425,-0.628,-0.4268
0.163,84.9,-78.9,-62.1,74.7272,-78.8086,-54.3008,0.5354,-0.3656,-0.4105
0.213,85.1,-79.3,-61.9,75.2458,-79.2017,-54.6808,0.5186,-0.3931,-0.38
0.263,85.6,-79.8,-62.1,75.7635,-79.6803,-55.0517,0.5177,-0.4786,-0.371
0.313,86.4,-80.4,-62.6,76.2954,-80.2561,-55.4291,0.5318,-0.5757,-0.3774
0.363,86.9,-81.0,-62.9,76.8256,-80.8512,-55.8027,0.5302,-0.5951,-0.3735
0.414,88.1,-81.6,-63.7,77.3893,-81.4502,-56.1975,0.5637,-0.599,-0.3949
0.463,90.2,-82.2,-65.4,78.0298,-82.05,-56.6577,0.6405,-0.5998,-0.4601
0.514,92.7,-82.7,-67.5,78.7634,-82.57,-57.1998,0.7335,-0.52,-0.5421
0.563,95.4,-83.1,-69.5,79.5952,-82.994,-57.8148,0.8318,-0.424,-0.615
0.613,98.0,-83.3,-71.5,80.5154,-83.2388,-58.4991,0.9202,-0.2448,-0.6843
0.663,101.3,-83.6,-74.1,81.5547,-83.5278,-59.2791,1.0392,-0.289,-0.78
0.714,104.6,-83.7,-76.6,82.7069,-83.6656,-60.1451,1.1523,-0.1378,-0.866
0.763,107.6,-83.9,-78.9,83.9516,-83.8531,-61.0829,1.2447,-0.1876,-0.9377
0.813,110.4,-83.9,-81.1,85.274,-83.8906,-62.0837,1.3224,-0.0375,-1.0009
0.862,112.8,-84.1,-82.9,86.6503,-84.0581,-63.1246,1.3763,-0.1675,-1.0408
0.912,114.6,-84.3,-84.1,88.0478,-84.2516,-64.1733,1.3975,-0.1935,-1.0488
0.962,116.5,-84.6,-85.5,89.4704,-84.5303,-65.2397,1.4226,-0.2787,-1.0663
1.012,118.2,-84.8,-86.7,90.9069,-84.7461,-66.3127,1.4365,-0.2157,-1.073
1.062,120.1,-84.9,-88.2,92.3665,-84.8692,-67.407,1.4597,-0.1231,-1.0944
1.112,121.8,-85.0,-89.6,93.8382,-84.9738,-68.5167,1.4717,-0.1046,-1.1096
1.163,123.9,-85.0,-91.4,95.3413,-84.9948,-69.6609,1.5031,-0.0209,-1.1442
1.212,125.7,-85.1,-93.0,96.8592,-85.079,-70.8278,1.5179,-0.0842,-1.167
1.263,128.0,-85.1,-95.0,98.4163,-85.0958,-72.0364,1.557,-0.0168,-1.2086
1.313,129.4,-85.2,-96.4,99.9655,-85.1792,-73.2546,1.5492,-0.0834,-1.2182
1.363,131.1,-85.3,-98.0,101.5222,-85.2758,-74.4919,1.5567,-0.0967,-1.2373
1.413,132.4,-85.4,-99.2,103.0661,-85.3752,-75.7273,1.5439,-0.0993,-1.2354
1.462,133.1,-85.6,-99.7,104.5678,-85.555,-76.9259,1.5017,-0.1799,-1.1986
1.512,134.5,-85.7,-101.0,106.0644,-85.671,-78.1296,1.4966,-0.116,-1.2037
