Time(s),Raw_Roll,Raw_Pitch,Raw_Yaw,Filtered_Roll,Filtered_Pitch,Filtered_Yaw,Delta_Roll,Delta_Pitch,Delta_Yaw
0.000,-85.9,4.0,0.0,-85.9,4.0,0.0,0.0,0.0,0.0
0.000,-85.9,-14.4,0.0,-85.9,3.08,0.0,0.0,-0.92,0.0
0.000,-85.9,-14.4,0.0,-85.9,2.206,0.0,0.0,-0.874,0.0
0.001,-85.9,-14.4,0.0,-85.9,1.3757,0.0,0.0,-0.8303,0.0
0.001,-85.9,-14.4,0.0,-85.9,0.5869,0.0,0.0,-0.7888,0.0
0.028,-85.6,-14.5,0.0,-85.66,-0.1674,0.0,0.24,-0.7543,0.0
0.078,-85.6,-14.5,0.0,-85.612,-0.8841,0.0,0.048,-0.7166,0.0
0.127,-85.6,-14.5,0.0,-85.6024,-1.5649,0.0,0.0096,-0.6808,0.0
0.178,-85.5,-14.5,0.0,-85.5205,-2.2116,0.0,0.0819,-0.6468,0.0
0.228,-85.5,-14.5,0.0,-85.5041,-2.826,0.0,0.0164,-0.6144,0.0
0.278,-85.5,-14.5,0.0,-85.5008,-3.4097,0.0,0.0033,-0.5837,0.0
0.327,-85.5,-14.5,0.0,-85.5002,-3.9642,0.0,0.0007,-0.5545,0.0
0.378,-85.5,-14.5,0.0,-85.5,-4.491,0.0,0.0001,-0.5268,0.0
0.427,-85.5,-14.5,0.0,-85.5,-4.9915,0.0,0.0,-0.5004,0.0
0.477,-85.5,-14.5,0.0,-85.5,-5.4669,0.0,0.0,-0.4754,0.0
0.527,-85.5,-14.5,0.0,-85.5,-5.9186,0.0,0.0,-0.4517,0.0
0.577,-85.5,-14.5,0.0,-85.5,-6.3476,0.0,0.0,-0.4291,0.0
0.627,-85.5,-14.5,0.0,-85.5,-6.7553,0.0,0.0,-0.4076,0.0
0.677,-85.5,-14.5,0.0,-85.5,-7.1425,0.0,0.0,-0.3872,0.0
0.727,-85.5,-14.5,0.0,-85.5,-7.5104,0.0,0.0,-0.3679,0.0
0.777,-85.5,-14.5,0.0,-85.5,-7.8598,0.0,0.0,-0.3495,0.0
0.827,-85.5,-14.5,0.0,-85.5,-8.1919,0.0,0.0,-0.332,0.0
0.877,-85.5,-14.5,0.0,-85.5,-8.5073,0.0,0.0,-0.3154,0.0
0.926,-85.5,-14.5,0.0,-85.5,-8.8069,0.0,0.0,-0.2996,0.0
0.977,-85.5,-14.5,0.0,-85.5,-9.0916,0.0,0.0,-0.2847,0.0
1.027,-85.5,-14.5,0.0,-85.5,-9.362,0.0,0.0,-0.2704,0.0
1.077,-85.5,-14.5,0.0,-85.5,-9.6189,0.0,0.0,-0.2569,0.0
1.126,-85.5,-14.5,0.0,-85.5,-13.5238,0.0,0.0,-3.9049,0.0
1.176,-85.5,-14.5,0.0,-85.5,-14.3048,0.0,0.0,-0.781,0.0
1.226,-85.5,-14.5,0.0,-85.5,-14.461,0.0,0.0,-0.1562,0.0
1.276,-85.5,-14.5,0.0,-85.5,-14.4922,0.0,0.0,-0.0312,0.0
1.326,-85.5,-14.5,0.0,-85.5,-14.4984,0.0,0.0,-0.0062,0.0
1.376,-85.5,-14.5,0.0,-85.5,-14.4997,0.0,0.0,-0.0012,0.0
1.426,-85.5,-14.5,0.0,-85.5,-14.4999,0.0,0.0,-0.0002,0.0
1.476,-85.5,-14.5,0.0,-85.5,-14.5,0.0,0.0,-0.0,0.0
1.526,-85.5,-14.5,0.0,-85.5,-14.5,0.0,0.0,-0.0,0.0
1.576,-85.5,-14.5,0.0,-85.5,-14.5,0.0,0.0,-0.0,0.0
1.624,-85.5,-14.5,0.0,-85.5,-14.5,0.0,0.0,-0.0,0.0
1.676,-85.5,-14.5,0.0,-85.5,-14.5,0.0,0.0,-0.0,0.0
1.725,-85.5,-14.5,0.0,-85.5,-14.5,0.0,0.0,-0.0,0.0
1.775,-85.5,-14.5,0.0,-85.5,-14.5,0.0,0.0,-0.0,0.0
1.824,-85.5,-14.5,0.0,-85.5,-14.5,0.0,0.0,-0.0,0.0
1.875,-85.5,-14.5,0.0,-85.5,-14.5,0.0,0.0,-0.0,0.0
1.926,-85.5,-14.5,0.0,-85.5,-14.5,0.0,0.0,-0.0,0.0
1.975,-85.5,-14.5,0.0,-85.5,-14.5,0.0,0.0,-0.0,0.0
2.025,-85.5,-14.5,0.0,-85.5,-14.5,0.0,0.0,-0.0,0.0
2.075,-85.5,-14.5,0.0,-85.5,-14.5,0.0,0.0,-0.0,0.0
2.125,-85.5,-14.5,0.0,-85.5,-14.5,0.0,0.0,-0.0,0.0
2.175,-85.5,-14.5,0.0,-85.5,-14.5,0.0,0.0,-0.0,0.0
2.225,-85.5,-14.5,0.0,-85.5,-14.5,0.0,0.0,0.0,0.0
2.275,-85.5,-14.5,0.0,-85.5,-14.5,0.0,0.0,0.0,0.0
2.324,-85.5,-14.5,0.0,-85.5,-14.5,0.0,0.0,0.0,0.0
2.374,-85.5,-14.5,0.0,-85.5,-14.5,0.0,0.0,0.0,0.0
2.425,-85.5,-14.5,0.0,-85.5,-14.5,0.0,0.0,0.0,0.0
2.475,-85.5,-14.5,0.0,-85.5,-14.5,0.0,0.0,0.0,0.0
