Time(s),Roll(deg),Pitch(deg),Yaw(deg),Delta_Roll,Delta_Pitch,Delta_Yaw
0.039,100.6,-78.0,-142.3,0.0,0.0,0.0
0.089,101.0,-77.9,-142.8,0.4,0.1,-0.5
0.139,100.8,-77.9,-142.7,-0.2,0.0,0.1
0.189,100.8,-77.9,-142.8,0.0,0.0,-0.1
0.239,101.0,-77.9,-143.0,0.2,0.0,-0.2
0.288,101.1,-77.9,-143.1,0.1,0.0,-0.1
0.338,101.2,-77.9,-143.3,0.1,0.0,-0.2
0.388,101.1,-77.9,-143.3,-0.1,0.0,0.0
0.438,101.2,-77.9,-143.4,0.1,0.0,-0.1
0.488,101.7,-77.9,-144.0,0.5,0.0,-0.6
0.538,102.3,-78.1,-144.7,0.6,-0.2,-0.7
0.588,102.7,-78.2,-145.2,0.4,-0.1,-0.5
0.638,103.3,-78.3,-145.9,0.6,-0.1,-0.7
0.688,103.6,-78.5,-146.3,0.3,-0.2,-0.4
0.739,104.2,-78.7,-146.9,0.6,-0.2,-0.6
0.788,105.1,-78.9,-148.0,0.9,-0.2,-1.1
0.838,105.9,-79.0,-149.0,0.8,-0.1,-1.0
0.888,106.7,-79.2,-150.0,0.8,-0.2,-1.0
0.938,107.4,-79.4,-150.8,0.7,-0.2,-0.8
0.988,108.0,-79.6,-151.6,0.6,-0.2,-0.8
1.037,109.0,-79.7,-152.8,1.0,-0.1,-1.2
1.088,110.2,-79.9,-154.2,1.2,-0.2,-1.4
1.137,110.9,-80.0,-155.2,0.7,-0.1,-1.0
1.187,111.7,-80.0,-156.2,0.8,0.0,-1.0
1.237,112.3,-80.1,-157.1,0.6,-0.1,-0.9
1.288,112.6,-80.1,-157.6,0.3,0.0,-0.5
1.337,113.0,-80.0,-158.4,0.4,0.1,-0.8
1.387,113.3,-80.0,-159.1,0.3,0.0,-0.7
1.438,113.4,-79.9,-159.4,0.1,0.1,-0.3
1.487,112.8,-79.9,-159.2,-0.6,0.0,0.2
1.537,112.1,-79.8,-158.7,-0.7,0.1,0.5
1.587,111.4,-79.8,-158.2,-0.7,0.0,0.5
1.636,110.7,-79.8,-157.6,-0.7,0.0,0.6
1.686,109.9,-79.7,-156.9,-0.8,0.1,0.7
1.736,109.1,-79.7,-156.3,-0.8,0.0,0.6
1.786,108.4,-79.7,-155.5,-0.7,0.0,0.8
1.836,107.6,-79.7,-154.5,-0.8,0.0,1.0
1.886,107.2,-79.7,-153.9,-0.4,0.0,0.6
1.936,107.1,-79.6,-153.6,-0.1,0.1,0.3
1.986,107.1,-79.6,-153.3,0.0,0.0,0.3
2.036,107.1,-79.6,-153.2,0.0,0.0,0.1
2.086,107.1,-79.6,-153.1,0.0,0.0,0.1
2.136,107.3,-79.6,-153.2,0.2,0.0,-0.1
2.187,107.4,-79.6,-153.4,0.1,0.0,-0.2
2.236,107.8,-79.7,-153.7,0.4,-0.1,-0.3
2.286,108.0,-79.7,-154.0,0.2,0.0,-0.3
2.335,108.4,-79.7,-154.4,0.4,0.0,-0.4
2.386,108.6,-79.8,-154.5,0.2,-0.1,-0.1
2.435,108.6,-79.9,-154.5,0.0,-0.1,0.0
2.485,108.9,-79.9,-154.9,0.3,0.0,-0.4
2.535,109.1,-80.0,-155.3,0.2,-0.1,-0.4
2.585,109.5,-80.1,-155.6,0.4,-0.1,-0.3
2.635,109.8,-80.1,-156.0,0.3,0.0,-0.4
2.685,110.1,-80.1,-156.3,0.3,0.0,-0.3
2.734,110.4,-80.1,-156.6,0.3,0.0,-0.3
2.784,110.5,-80.1,-156.8,0.1,0.0,-0.2
2.834,110.3,-80.1,-156.7,-0.2,0.0,0.1
2.884,110.3,-80.1,-156.7,0.0,0.0,0.0
2.934,109.9,-80.1,-156.3,-0.4,0.0,0.4
2.985,109.5,-80.1,-155.8,-0.4,0.0,0.5
3.034,109.4,-80.1,-155.7,-0.1,0.0,0.1
