Time(s),Roll(deg),Pitch(deg),Yaw(deg),Delta_Roll,Delta_Pitch,Delta_Yaw
0.001,55.3,-79.9,-25.5,0.0,0.0,0.0
0.052,55.0,-80.1,-24.9,-0.3,-0.2,0.6
0.102,54.6,-80.4,-24.3,-0.4,-0.3,0.6
0.151,53.8,-80.6,-23.4,-0.8,-0.2,0.9
0.202,52.8,-81.0,-22.2,-1.0,-0.4,1.2
0.251,51.7,-81.5,-21.0,-1.1,-0.5,1.2
0.301,50.5,-82.0,-19.8,-1.2,-0.5,1.2
0.350,48.9,-82.5,-18.2,-1.6,-0.5,1.6
0.401,47.4,-83.0,-16.7,-1.5,-0.5,1.5
0.451,45.3,-83.6,-14.6,-2.1,-0.6,2.1
0.501,42.5,-84.2,-11.6,-2.8,-0.6,3.0
0.551,40.1,-84.8,-9.0,-2.4,-0.6,2.6
0.601,37.7,-85.4,-6.2,-2.4,-0.6,2.8
0.650,35.7,-86.0,-3.7,-2.0,-0.6,2.5
0.700,32.5,-86.6,0.1,-3.2,-0.6,3.8
0.750,28.7,-87.3,4.6,-3.8,-0.7,4.5
0.800,26.1,-87.7,7.8,-2.6,-0.4,3.2
0.849,22.3,-88.4,12.4,-3.8,-0.7,4.6
0.899,16.4,-88.6,18.9,-5.9,-0.2,6.5
0.949,8.1,-89.0,28.0,-8.3,-0.4,9.1
1.000,-4.8,-89.1,41.5,-12.9,-0.1,13.5
1.050,-20.5,-88.9,57.8,-15.7,0.2,16.3
1.100,-30.8,-89.0,68.7,-10.3,-0.1,10.9
1.150,-39.6,-88.7,77.8,-8.8,0.3,9.1
1.200,-46.0,-88.8,84.5,-6.4,-0.1,6.7
1.250,-53.3,-88.6,92.0,-7.3,0.2,7.5
1.300,-58.4,-88.7,97.4,-5.1,-0.1,5.4
1.349,-63.6,-88.3,102.7,-5.2,0.4,5.3
1.399,-70.5,-88.6,109.8,-6.9,-0.3,7.1
1.449,-77.0,-88.6,116.4,-6.5,0.0,6.6
1.500,-84.8,-88.5,124.3,-7.8,0.1,7.9
1.550,-93.4,-88.5,133.0,-8.6,0.0,8.7
1.599,-102.7,-88.5,142.4,-9.3,0.0,9.4
1.649,-106.1,-88.3,145.9,-3.4,0.2,3.5
1.699,-108.9,-88.2,148.9,-2.8,0.1,3.0
1.749,-111.9,-88.3,152.0,-3.0,-0.1,3.1
1.799,-113.3,-88.0,153.5,-1.4,0.3,1.5
1.849,-113.7,-88.1,154.0,-0.4,-0.1,0.5
1.899,-111.6,-88.1,152.0,2.1,0.0,-2.0
1.948,-111.1,-88.0,151.5,0.5,0.1,-0.5
1.998,-110.7,-88.1,151.0,0.4,-0.1,-0.5
2.048,-110.0,-88.0,150.3,0.7,0.1,-0.7
2.099,-108.1,-88.0,148.3,1.9,0.0,-2.0
2.149,-107.8,-88.0,147.9,0.3,0.0,-0.4
2.198,-106.1,-87.9,146.2,1.7,0.1,-1.7
2.248,-104.1,-87.8,144.2,2.0,0.1,-2.0
2.299,-101.9,-87.9,141.9,2.2,-0.1,-2.3
2.348,-99.1,-87.8,139.1,2.8,0.1,-2.8
2.397,-97.4,-87.9,137.3,1.7,-0.1,-1.8
2.448,-94.6,-87.8,134.5,2.8,0.1,-2.8
2.498,-93.3,-87.6,133.2,1.3,0.2,-1.3
2.548,-93.9,-87.6,133.7,-0.6,0.0,0.5
2.598,-93.5,-87.6,133.3,0.4,0.0,-0.4
2.648,-92.7,-87.7,132.5,0.8,-0.1,-0.8
