Time(s),Roll(deg),Pitch(deg),Yaw(deg),Delta_Roll,Delta_Pitch,Delta_Yaw
0.019,108.2,-77.3,-62.7,0.0,0.0,0.0
0.069,108.3,-77.3,-62.9,0.1,0.0,-0.2
0.118,108.5,-77.3,-63.1,0.2,0.0,-0.2
0.169,108.7,-77.3,-63.4,0.2,0.0,-0.3
0.219,108.8,-77.3,-63.5,0.1,0.0,-0.1
0.268,109.1,-77.3,-63.8,0.3,0.0,-0.3
0.318,109.5,-77.3,-64.1,0.4,0.0,-0.3
0.368,109.8,-77.3,-64.6,0.3,0.0,-0.5
0.419,110.3,-77.4,-65.0,0.5,-0.1,-0.4
0.468,110.9,-77.5,-65.6,0.6,-0.1,-0.6
0.519,111.5,-77.6,-66.3,0.6,-0.1,-0.7
0.568,112.1,-77.8,-66.9,0.6,-0.2,-0.6
0.618,112.5,-78.1,-67.4,0.4,-0.3,-0.5
0.668,113.3,-78.3,-68.1,0.8,-0.2,-0.7
0.717,113.9,-78.6,-68.6,0.6,-0.3,-0.5
0.767,114.7,-78.8,-69.3,0.8,-0.2,-0.7
0.817,115.8,-79.1,-70.1,1.1,-0.3,-0.8
0.867,117.4,-79.3,-71.6,1.6,-0.2,-1.5
0.917,119.4,-79.7,-73.2,2.0,-0.4,-1.6
0.967,121.4,-79.9,-74.9,2.0,-0.2,-1.7
1.017,123.6,-80.2,-76.8,2.2,-0.3,-1.9
1.067,125.5,-80.5,-78.3,1.9,-0.3,-1.5
1.118,127.5,-80.8,-79.8,2.0,-0.3,-1.5
1.168,129.1,-80.9,-80.9,1.6,-0.1,-1.1
1.216,130.4,-81.0,-81.6,1.3,-0.1,-0.7
1.266,131.2,-81.1,-81.9,0.8,-0.1,-0.3
1.316,132.2,-81.2,-82.5,1.0,-0.1,-0.6
1.366,133.2,-81.3,-83.0,1.0,-0.1,-0.5
1.416,134.4,-81.5,-83.8,1.2,-0.2,-0.8
1.466,135.6,-81.7,-84.5,1.2,-0.2,-0.7
1.516,136.6,-81.8,-85.1,1.0,-0.1,-0.6
1.566,137.9,-81.9,-86.2,1.3,-0.1,-1.1
1.616,139.2,-82.1,-87.2,1.3,-0.2,-1.0
1.666,140.3,-82.2,-88.2,1.1,-0.1,-1.0
1.717,141.0,-82.2,-88.8,0.7,0.0,-0.6
1.767,141.5,-82.3,-89.2,0.5,-0.1,-0.4
1.816,141.9,-82.4,-89.6,0.4,-0.1,-0.4
1.866,142.2,-82.4,-89.9,0.3,0.0,-0.3
1.916,142.8,-82.5,-90.5,0.6,-0.1,-0.6
1.966,143.3,-82.6,-90.9,0.5,-0.1,-0.4
2.015,143.7,-82.6,-91.2,0.4,0.0,-0.3
2.066,144.0,-82.6,-91.4,0.3,0.0,-0.2
2.116,144.3,-82.6,-91.5,0.3,0.0,-0.1
2.166,143.9,-82.7,-91.0,-0.4,-0.1,0.5
2.216,143.9,-82.7,-90.8,0.0,0.0,0.2
2.266,143.5,-82.8,-90.3,-0.4,-0.1,0.5
2.316,143.4,-82.7,-90.0,-0.1,0.1,0.3
2.365,143.5,-82.7,-89.9,0.1,0.0,0.1
2.415,143.4,-82.7,-89.7,-0.1,0.0,0.2
2.465,143.4,-82.7,-89.6,0.0,0.0,0.1
2.515,143.7,-82.6,-89.7,0.3,0.1,-0.1
2.565,144.1,-82.6,-90.0,0.4,0.0,-0.3
2.615,144.7,-82.5,-90.5,0.6,0.1,-0.5
2.666,145.3,-82.5,-91.0,0.6,0.0,-0.5
2.715,145.8,-82.4,-91.4,0.5,0.1,-0.4
2.765,146.6,-82.3,-92.0,0.8,0.1,-0.6
2.815,147.1,-82.2,-92.4,0.5,0.1,-0.4
2.864,147.4,-82.1,-92.7,0.3,0.1,-0.3
2.914,147.8,-82.0,-93.1,0.4,0.1,-0.4
2.964,148.2,-82.0,-93.4,0.4,0.0,-0.3
3.015,148.3,-82.0,-93.4,0.1,0.0,0.0
3.064,148.4,-82.0,-93.3,0.1,0.0,0.1
3.114,148.4,-82.0,-93.3,0.0,0.0,0.0
3.164,148.6,-82.0,-93.3,0.2,0.0,0.0
3.214,148.9,-81.9,-93.7,0.3,0.1,-0.4
3.264,149.5,-81.9,-94.2,0.6,0.0,-0.5
3.314,149.9,-81.8,-94.6,0.4,0.1,-0.4
3.363,150.1,-81.7,-94.7,0.2,0.1,-0.1
3.413,150.1,-81.6,-94.8,0.0,0.1,-0.1
3.463,150.1,-81.5,-94.9,0.0,0.1,-0.1
3.513,150.2,-81.4,-95.0,0.1,0.1,-0.1
3.563,150.3,-81.3,-95.2,0.1,0.1,-0.2
3.613,150.5,-81.3,-95.4,0.2,0.0,-0.2
3.662,150.5,-81.2,-95.5,0.0,0.1,-0.1
3.713,150.6,-81.2,-95.7,0.1,0.0,-0.2
3.763,150.7,-81.2,-95.8,0.1,0.0,-0.1
3.813,151.0,-81.1,-96.2,0.3,0.1,-0.4
3.863,151.3,-81.0,-96.4,0.3,0.1,-0.2
3.913,151.5,-80.9,-96.7,0.2,0.1,-0.3
3.962,151.8,-80.7,-97.0,0.3,0.2,-0.3
4.013,152.1,-80.6,-97.3,0.3,0.1,-0.3
4.063,152.2,-80.5,-97.4,0.1,0.1,-0.1
4.112,152.1,-80.5,-97.2,-0.1,0.0,0.2
4.162,151.9,-80.4,-97.1,-0.2,0.1,0.1
4.212,151.7,-80.5,-96.9,-0.2,-0.1,0.2
4.262,151.4,-80.5,-96.6,-0.3,0.0,0.3
4.312,151.2,-80.7,-96.4,-0.2,-0.2,0.2
4.362,151.0,-80.8,-96.2,-0.2,-0.1,0.2
4.412,150.9,-80.9,-96.2,-0.1,-0.1,0.0
4.462,151.0,-81.0,-96.3,0.1,-0.1,-0.1
4.511,150.7,-81.2,-96.1,-0.3,-0.2,0.2
4.561,150.5,-81.4,-96.0,-0.2,-0.2,0.1
4.611,150.6,-81.6,-96.3,0.1,-0.2,-0.3
4.661,150.9,-81.8,-96.7,0.3,-0.2,-0.4
4.711,151.5,-81.9,-97.4,0.6,-0.1,-0.7
4.760,152.5,-82.0,-98.4,1.0,-0.1,-1.0
4.810,153.0,-82.2,-98.9,0.5,-0.2,-0.5
4.860,153.2,-82.3,-99.2,0.2,-0.1,-0.3
4.910,153.5,-82.5,-99.7,0.3,-0.2,-0.5
4.961,153.7,-82.6,-100.1,0.2,-0.1,-0.4
5.011,154.0,-82.7,-100.5,0.3,-0.1,-0.4
5.061,154.3,-82.8,-100.9,0.3,-0.1,-0.4
5.111,154.6,-82.8,-101.3,0.3,0.0,-0.4
5.161,154.8,-82.9,-101.8,0.2,-0.1,-0.5
5.211,155.3,-82.8,-102.4,0.5,0.1,-0.6
5.261,155.7,-82.8,-102.9,0.4,0.0,-0.5
5.311,156.1,-82.7,-103.5,0.4,0.1,-0.6
5.360,156.7,-82.6,-104.1,0.6,0.1,-0.6
5.410,157.2,-82.6,-104.8,0.5,0.0,-0.7
5.460,157.4,-82.5,-105.0,0.2,0.1,-0.2
5.510,157.5,-82.5,-105.3,0.1,0.0,-0.3
5.560,157.7,-82.5,-105.5,0.2,0.0,-0.2
5.610,157.8,-82.5,-105.6,0.1,0.0,-0.1
5.660,157.5,-82.6,-105.3,-0.3,-0.1,0.3
5.710,156.9,-82.6,-104.7,-0.6,0.0,0.6
5.760,156.4,-82.6,-104.1,-0.5,0.0,0.6
5.810,156.1,-82.5,-103.9,-0.3,0.1,0.2
5.860,156.0,-82.3,-103.8,-0.1,0.2,0.1
5.910,156.1,-82.2,-103.9,0.1,0.1,-0.1
5.960,156.0,-82.0,-103.9,-0.1,0.2,0.0
6.009,156.0,-81.9,-104.0,0.0,0.1,-0.1
6.058,156.2,-81.8,-104.3,0.2,0.1,-0.3
6.109,156.7,-81.6,-104.8,0.5,0.2,-0.5
6.158,157.2,-81.4,-105.5,0.5,0.2,-0.7
6.208,157.6,-81.3,-106.0,0.4,0.1,-0.5
6.258,157.7,-81.1,-106.4,0.1,0.2,-0.4
6.308,157.5,-80.9,-106.3,-0.2,0.2,0.1
6.358,157.5,-80.8,-106.6,0.0,0.1,-0.3
6.408,157.6,-80.7,-106.7,0.1,0.1,-0.1
6.457,157.7,-80.7,-107.0,0.1,0.0,-0.3
6.507,158.0,-80.6,-107.4,0.3,0.1,-0.4
6.557,158.3,-80.5,-107.7,0.3,0.1,-0.3
6.607,158.5,-80.4,-107.9,0.2,0.1,-0.2
6.657,158.6,-80.3,-108.1,0.1,0.1,-0.2
6.707,158.8,-80.2,-108.2,0.2,0.1,-0.1
6.757,158.9,-80.1,-108.2,0.1,0.1,0.0
6.807,158.9,-80.1,-108.2,0.0,0.0,0.0
6.857,158.9,-80.1,-108.1,0.0,0.0,0.1
6.907,158.9,-80.1,-108.0,0.0,0.0,0.1
6.957,158.7,-80.2,-107.8,-0.2,-0.1,0.2
7.007,158.6,-80.3,-107.6,-0.1,-0.1,0.2
7.056,158.3,-80.3,-107.2,-0.3,0.0,0.4
7.107,158.1,-80.3,-107.0,-0.2,0.0,0.2
7.156,158.0,-80.2,-106.8,-0.1,0.1,0.2
7.206,158.1,-80.1,-106.9,0.1,0.1,-0.1
7.257,158.1,-80.0,-106.9,0.0,0.1,0.0
7.307,158.2,-79.9,-107.0,0.1,0.1,-0.1
7.357,158.4,-79.8,-107.2,0.2,0.1,-0.2
7.407,158.9,-79.7,-107.7,0.5,0.1,-0.5
7.457,159.5,-79.6,-108.3,0.6,0.1,-0.6
7.507,160.1,-79.4,-108.9,0.6,0.2,-0.6
7.557,160.5,-79.3,-109.3,0.4,0.1,-0.4
7.607,160.7,-79.2,-109.5,0.2,0.1,-0.2
7.657,160.7,-79.2,-109.4,0.0,0.0,0.1
7.707,160.4,-79.2,-109.1,-0.3,0.0,0.3
7.756,160.2,-79.1,-108.8,-0.2,0.1,0.3
7.806,160.0,-79.1,-108.6,-0.2,0.0,0.2
7.856,159.8,-79.1,-108.4,-0.2,0.0,0.2
7.906,159.8,-79.1,-108.4,0.0,0.0,0.0
7.956,159.7,-79.2,-108.3,-0.1,-0.1,0.1
8.005,159.8,-79.2,-108.4,0.1,0.0,-0.1
8.055,159.9,-79.3,-108.5,0.1,-0.1,-0.1
8.105,160.0,-79.3,-108.5,0.1,0.0,0.0
8.155,160.0,-79.4,-108.5,0.0,-0.1,0.0
8.205,159.9,-79.5,-108.3,-0.1,-0.1,0.2
8.256,159.8,-79.6,-108.1,-0.1,-0.1,0.2
8.306,159.7,-79.7,-107.9,-0.1,-0.1,0.2
8.355,159.6,-79.9,-107.8,-0.1,-0.2,0.1
8.405,159.5,-79.9,-107.5,-0.1,0.0,0.3
8.455,159.3,-79.9,-107.3,-0.2,0.0,0.2
8.505,159.0,-79.9,-106.9,-0.3,0.0,0.4
8.555,158.8,-79.9,-106.5,-0.2,0.0,0.4
8.605,158.5,-79.9,-106.2,-0.3,0.0,0.3
8.655,158.2,-79.9,-105.9,-0.3,0.0,0.3
8.705,158.1,-79.8,-105.8,-0.1,0.1,0.1
8.755,158.1,-79.8,-105.9,0.0,0.0,-0.1
