Time(s),Roll(deg),Pitch(deg),Yaw(deg),Delta_Roll,Delta_Pitch,Delta_Yaw
0.038,157.4,-77.3,-105.0,0.0,0.0,0.0
0.088,157.4,-77.3,-104.9,0.0,0.0,0.1
0.137,157.2,-77.2,-104.7,-0.2,0.1,0.2
0.188,157.3,-77.2,-104.8,0.1,0.0,-0.1
0.237,157.5,-77.1,-105.0,0.2,0.1,-0.2
0.287,157.6,-77.1,-105.0,0.1,0.0,0.0
0.337,157.7,-77.0,-105.1,0.1,0.1,-0.1
0.388,157.9,-77.0,-105.4,0.2,0.0,-0.3
0.438,158.1,-76.9,-105.5,0.2,0.1,-0.1
0.488,158.2,-76.9,-105.7,0.1,0.0,-0.2
0.538,158.3,-77.0,-105.8,0.1,-0.1,-0.1
0.588,158.7,-77.0,-106.2,0.4,0.0,-0.4
0.638,159.2,-77.1,-106.7,0.5,-0.1,-0.5
0.688,159.7,-77.1,-107.1,0.5,0.0,-0.4
0.738,160.3,-77.1,-107.7,0.6,0.0,-0.6
0.787,161.1,-77.2,-108.4,0.8,-0.1,-0.7
0.837,161.7,-77.2,-108.9,0.6,0.0,-0.5
0.887,162.4,-77.3,-109.4,0.7,-0.1,-0.5
0.937,163.0,-77.4,-110.0,0.6,-0.1,-0.6
0.987,163.8,-77.5,-110.5,0.8,-0.1,-0.5
1.037,164.4,-77.6,-110.9,0.6,-0.1,-0.4
1.087,164.7,-77.6,-111.0,0.3,0.0,-0.1
1.137,165.2,-77.6,-111.3,0.5,0.0,-0.3
1.187,165.9,-77.5,-111.8,0.7,0.1,-0.5
1.237,166.4,-77.5,-112.2,0.5,0.0,-0.4
1.287,166.8,-77.4,-112.4,0.4,0.1,-0.2
1.336,167.1,-77.4,-112.6,0.3,0.0,-0.2
1.386,167.6,-77.4,-113.1,0.5,0.0,-0.5
1.436,168.0,-77.4,-113.4,0.4,0.0,-0.3
1.486,168.5,-77.4,-113.8,0.5,0.0,-0.4
1.536,169.0,-77.4,-114.3,0.5,0.0,-0.5
1.586,169.5,-77.4,-114.7,0.5,0.0,-0.4
1.636,169.7,-77.4,-114.9,0.2,0.0,-0.2
1.686,170.1,-77.4,-115.3,0.4,0.0,-0.4
1.736,170.3,-77.3,-115.5,0.2,0.1,-0.2
1.786,170.6,-77.3,-115.8,0.3,0.0,-0.3
1.836,170.7,-77.2,-115.8,0.1,0.1,0.0
1.886,170.4,-77.2,-115.5,-0.3,0.0,0.3
1.936,170.7,-77.2,-115.8,0.3,0.0,-0.3
1.986,170.9,-77.1,-116.0,0.2,0.1,-0.2
2.035,171.5,-77.0,-116.5,0.6,0.1,-0.5
2.085,171.8,-76.9,-116.8,0.3,0.1,-0.3
2.135,172.0,-76.9,-117.1,0.2,0.0,-0.3
2.185,172.2,-76.8,-117.4,0.2,0.1,-0.3
2.235,172.3,-76.8,-117.6,0.1,0.0,-0.2
2.285,172.4,-76.7,-117.8,0.1,0.1,-0.2
2.334,172.5,-76.6,-118.0,0.1,0.1,-0.2
2.384,172.5,-76.5,-118.1,0.0,0.1,-0.1
2.434,172.5,-76.4,-118.1,0.0,0.1,0.0
2.484,172.4,-76.3,-118.1,-0.1,0.1,0.0
2.534,172.6,-76.2,-118.3,0.2,0.1,-0.2
