Time(s),Raw_Roll,Raw_Pitch,Raw_Yaw,Filtered_Roll,Filtered_Pitch,Filtered_Yaw,Delta_Roll,Delta_Pitch,Delta_Yaw
0.005,-172.8,-85.6,-153.6,-172.8,-85.6,-153.6,0.0,0.0,0.0
0.055,-172.1,-85.6,-154.2,-172.24,-85.6,-154.08,0.56,0.0,-0.48
0.105,-170.4,-85.5,-155.6,-170.768,-85.52,-155.296,1.472,0.08,-1.216
0.154,-167.9,-85.5,-157.9,-168.4736,-85.504,-157.3792,2.2944,0.016,-2.0832
0.203,-164.7,-85.4,-161.0,-165.4547,-85.4208,-160.2758,3.0189,0.0832,-2.8966
0.253,-160.9,-85.2,-164.5,-161.8109,-85.2442,-163.6552,3.6438,0.1766,-3.3793
0.303,-156.9,-85.1,-168.6,-157.8822,-85.1288,-167.611,3.9288,0.1153,-3.9559
0.354,-153.1,-84.9,-172.3,-154.0564,-84.9458,-171.3622,3.8258,0.1831,-3.7512
0.403,-149.8,-84.7,-175.5,-150.6513,-84.7492,-174.6724,3.4052,0.1966,-3.3102
0.454,-147.1,-84.4,-178.2,-147.8103,-84.4698,-177.4945,2.841,0.2793,-2.822
0.503,-145.0,-84.1,-180.1,-145.5621,-84.174,-179.5789,2.2482,0.2959,-2.0844
0.554,-143.2,-83.9,-181.7,-143.6724,-83.9548,-181.2758,1.8896,0.2192,-1.6969
0.604,-141.9,-83.7,-182.7,-142.2545,-83.751,-182.4152,1.4179,0.2038,-1.1394
0.654,-141.1,-83.6,-183.3,-141.3309,-83.6302,-183.123,0.9236,0.1208,-0.7079
0.703,-140.6,-83.6,-183.6,-140.7462,-83.606,-183.5046,0.5847,0.0242,-0.3816
0.753,-140.4,-83.4,-183.8,-140.4692,-83.4412,-183.7409,0.2769,0.1648,-0.2363
0.803,-140.1,-83.3,-184.1,-140.1738,-83.3282,-184.0282,0.2954,0.113,-0.2873
0.853,-140.0,-83.1,-184.3,-140.0348,-83.1456,-184.2456,0.1391,0.1826,-0.2175
0.903,-139.6,-82.9,-184.7,-139.687,-82.9491,-184.6091,0.3478,0.1965,-0.3635
0.954,-139.3,-82.7,-184.9,-139.3774,-82.7498,-184.8418,0.3096,0.1993,-0.2327
1.002,-139.2,-82.5,-185.0,-139.2355,-82.55,-184.9684,0.1419,0.1999,-0.1265
1.053,-140.1,-82.2,-183.9,-139.9271,-82.27,-184.1137,-0.6916,0.28,0.8547
1.103,-140.8,-82.1,-183.0,-140.6254,-82.134,-183.2227,-0.6983,0.136,0.8909
1.153,-141.7,-81.9,-181.9,-141.4851,-81.9468,-182.1645,-0.8597,0.1872,1.0582
1.202,-142.5,-81.8,-181.2,-142.297,-81.8294,-181.3929,-0.8119,0.1174,0.7716
1.252,-143.6,-81.5,-180.0,-143.3394,-81.5659,-180.2786,-1.0424,0.2635,1.1143
1.303,-145.3,-81.3,-178.2,-144.9079,-81.3532,-178.6157,-1.5685,0.2127,1.6629
1.353,-146.4,-81.1,-177.0,-146.1016,-81.1506,-177.3231,-1.1937,0.2025,1.2926
