Time(s),Raw_Roll,Raw_Pitch,Raw_Yaw,Filtered_Roll,Filtered_Pitch,Filtered_Yaw,Delta_Roll,Delta_Pitch,Delta_Yaw
0.000,23.1,-80.7,-71.3,23.1,-80.7,-71.3,0.0,0.0,0.0
0.000,23.1,-80.8,-71.4,23.1,-80.7668,-71.3668,0.0,-0.0668,-0.0668
0.000,23.0,-80.8,-71.2,23.0596,-80.7802,-71.2994,-0.0404,-0.0134,0.0674
0.000,22.8,-80.9,-71.0,22.9836,-80.8153,-71.2117,-0.076,-0.0351,0.0877
0.001,22.8,-81.0,-71.1,22.9409,-80.8582,-71.1858,-0.0427,-0.0429,0.026
0.001,23.1,-80.9,-71.5,22.972,-80.8664,-71.2471,0.031,-0.0082,-0.0613
0.001,23.9,-80.9,-72.5,23.1299,-80.8721,-71.4603,0.158,-0.0057,-0.2132
0.001,25.0,-80.8,-73.8,23.4155,-80.8611,-71.8176,0.2855,0.011,-0.3572
0.085,111.4,-82.4,-76.6,23.5584,-81.0764,-72.4867,0.1429,-0.2153,-0.6692
0.136,111.5,-82.4,-76.5,36.4915,-81.249,-73.01,12.9331,-0.1726,-0.5232
0.185,111.3,-82.5,-76.3,46.6463,-81.403,-73.415,10.1548,-0.154,-0.405
0.235,111.5,-82.4,-76.4,54.896,-81.5201,-73.7656,8.2497,-0.1171,-0.3506
0.285,111.9,-82.5,-76.9,61.7736,-81.6309,-74.1199,6.8776,-0.1108,-0.3544
0.335,112.5,-82.6,-77.4,67.6352,-81.7371,-74.4793,5.8616,-0.1062,-0.3594
0.385,113.0,-82.7,-77.8,72.6956,-81.8399,-74.834,5.0604,-0.1028,-0.3546
0.435,113.3,-82.8,-78.0,77.0961,-81.9403,-75.1651,4.4005,-0.1004,-0.3311
0.484,113.9,-82.9,-78.6,80.9917,-82.039,-75.5182,3.8955,-0.0987,-0.3531
0.535,114.6,-83.1,-79.2,84.4808,-82.1465,-75.8914,3.4892,-0.1076,-0.3732
0.586,115.2,-83.2,-79.6,87.62,-82.2521,-76.2631,3.1391,-0.1056,-0.3716
0.634,115.5,-83.2,-79.9,90.4323,-82.3462,-76.6241,2.8123,-0.0941,-0.361
0.684,116.2,-83.4,-80.4,93.004,-82.45,-76.9961,2.5718,-0.1038,-0.3719
0.735,115.8,-83.5,-80.0,95.2595,-82.5528,-77.2901,2.2555,-0.1028,-0.294
0.784,114.8,-83.7,-79.0,97.1791,-82.6645,-77.4566,1.9196,-0.1117,-0.1665
0.834,113.5,-83.8,-77.8,98.7732,-82.7746,-77.4899,1.594,-0.1101,-0.0333
0.884,111.8,-83.8,-76.2,100.0394,-82.8737,-77.3653,1.2662,-0.0991,0.1246
0.935,109.6,-83.8,-73.8,100.9651,-82.9629,-77.0217,0.9257,-0.0893,0.3435
0.984,107.7,-83.8,-71.6,101.6151,-83.0434,-76.5005,0.65,-0.0805,0.5212
1.034,106.9,-83.8,-70.6,102.1238,-83.116,-75.9344,0.5087,-0.0726,0.5661
1.085,106.5,-83.9,-70.0,102.5442,-83.1911,-75.3659,0.4203,-0.0751,0.5685
1.134,106.2,-83.9,-69.4,102.8947,-83.2589,-74.7951,0.3505,-0.0678,0.5708
1.185,105.9,-83.9,-68.8,103.1824,-83.3202,-74.2221,0.2877,-0.0613,0.573
1.234,105.7,-83.8,-68.3,103.4232,-83.366,-73.6566,0.2408,-0.0458,0.5655
1.283,105.9,-83.7,-68.2,103.6598,-83.3979,-73.1359,0.2366,-0.0319,0.5207
1.334,106.4,-83.6,-68.5,103.9214,-83.4172,-72.6937,0.2616,-0.0193,0.4421
1.383,106.3,-83.6,-68.0,104.1484,-83.4346,-72.2463,0.2269,-0.0174,0.4474
1.433,106.0,-83.6,-67.6,104.3249,-83.4504,-71.8035,0.1766,-0.0158,0.4427
1.483,106.4,-83.6,-67.7,104.5227,-83.4646,-71.4126,0.1978,-0.0143,0.3909
1.533,107.1,-83.5,-68.3,104.7683,-83.468,-71.1162,0.2456,-0.0034,0.2964
1.584,108.1,-83.6,-69.1,105.0856,-83.4806,-70.9242,0.3173,-0.0126,0.192
1.634,108.4,-83.6,-69.3,105.4012,-83.4919,-70.7696,0.3156,-0.0114,0.1546
1.683,109.1,-83.6,-70.0,105.7534,-83.5022,-70.6963,0.3522,-0.0103,0.0733
1.733,109.2,-83.7,-70.1,106.0815,-83.521,-70.6396,0.3281,-0.0188,0.0568
1.783,108.7,-83.6,-69.6,106.3307,-83.5286,-70.5407,0.2492,-0.0075,0.0989
1.833,107.5,-83.6,-68.4,106.442,-83.5353,-70.337,0.1113,-0.0068,0.2037
1.883,106.2,-83.7,-67.3,106.419,-83.551,-70.048,-0.023,-0.0157,0.289
1.933,105.5,-83.7,-66.7,106.3315,-83.5652,-69.7294,-0.0874,-0.0142,0.3186
1.983,105.0,-83.7,-66.2,106.2048,-83.578,-69.3936,-0.1267,-0.0128,0.3358
2.032,104.2,-83.7,-65.6,106.0141,-83.5896,-69.0327,-0.1908,-0.0116,0.3609
2.082,103.9,-83.6,-65.4,105.8129,-83.5906,-68.6871,-0.2011,-0.001,0.3456
2.132,103.4,-83.6,-65.0,105.5834,-83.5915,-68.3363,-0.2296,-0.0009,0.3508
2.183,102.7,-83.6,-64.3,105.3091,-83.5923,-67.9523,-0.2743,-0.0008,0.384
2.233,102.1,-83.5,-63.7,105.0038,-83.5835,-67.5478,-0.3053,0.0088,0.4045
2.282,100.5,-83.5,-62.2,104.5753,-83.5756,-67.0391,-0.4285,0.0079,0.5087
2.332,95.8,-83.7,-57.5,103.7405,-83.5874,-66.1316,-0.8348,-0.0118,0.9074
2.381,94.5,-83.7,-56.1,102.8615,-83.5981,-65.1773,-0.879,-0.0107,0.9543
2.431,93.5,-83.6,-55.1,101.9709,-83.5983,-64.2187,-0.8905,-0.0002,0.9586
2.481,93.0,-83.6,-54.6,101.1175,-83.5985,-63.3037,-0.8534,-0.0002,0.915
2.531,92.6,-83.6,-54.2,100.3073,-83.5986,-62.4377,-0.8103,-0.0001,0.866
2.582,91.1,-83.5,-52.8,99.4314,-83.5892,-61.5209,-0.8759,0.0094,0.9168
2.631,89.6,-83.6,-51.2,98.4962,-83.5903,-60.5391,-0.9352,-0.001,0.9818
2.682,88.4,-83.7,-49.9,97.5358,-83.6007,-59.527,-0.9604,-0.0104,1.0121
2.732,86.9,-83.7,-48.3,96.524,-83.6101,-58.4591,-1.0117,-0.0094,1.068
2.781,84.7,-83.7,-46.0,95.3993,-83.6187,-57.2739,-1.1248,-0.0085,1.1852
2.832,81.1,-83.7,-42.2,94.039,-83.6264,-55.84,-1.3602,-0.0077,1.4339
2.881,75.9,-83.6,-36.9,94.02,-83.6239,-55.8201,-0.019,0.0025,0.0199
2.931,67.7,-83.5,-28.5,93.9897,-83.6121,-55.7887,-0.0302,0.0118,0.0314
2.980,57.1,-83.0,-17.7,93.9437,-83.5539,-55.7412,-0.046,0.0582,0.0475
3.030,46.5,-82.0,-6.9,93.8799,-83.4061,-55.6755,-0.0638,0.1478,0.0657
3.081,37.1,-80.6,2.7,93.7979,-83.1392,-55.5912,-0.082,0.2669,0.0843
3.130,28.9,-78.8,11.1,93.6979,-82.7264,-55.4884,-0.1,0.4128,0.1028
3.180,22.5,-76.2,17.9,93.5813,-82.1056,-55.3682,-0.1166,0.6208,0.1202
3.231,17.9,-73.4,22.8,82.3738,-81.2774,-43.7924,-11.2075,0.8281,11.5758
3.281,14.6,-70.4,26.5,73.1221,-80.2427,-34.1969,-9.2517,1.0347,9.5955
3.331,12.5,-67.5,29.2,65.3754,-79.0306,-26.0957,-7.7467,1.2122,8.1013
3.381,10.9,-64.4,31.2,58.7784,-77.6388,-19.1571,-6.597,1.3917,6.9385
3.430,9.7,-61.6,32.7,53.09,-76.1132,-13.1466,-5.6884,1.5257,6.0105
3.481,8.5,-58.9,34.0,48.1037,-74.4758,-7.8744,-4.9863,1.6374,5.2722
3.530,7.5,-56.3,35.2,43.6943,-72.7468,-3.1967,-4.4094,1.729,4.6777
3.580,6.3,-53.9,36.5,39.7296,-70.954,1.012,-3.9646,1.7928,4.2087
3.629,5.3,-51.4,37.4,36.1503,-69.0939,4.7949,-3.5793,1.8601,3.7829
3.679,4.1,-48.8,38.3,32.8715,-67.1635,8.2226,-3.2788,1.9305,3.4276
3.730,3.4,-46.0,38.9,29.896,-65.1503,11.3199,-2.9756,2.0132,3.0973
3.780,2.7,-43.2,39.5,27.1796,-63.0623,14.1345,-2.7163,2.088,2.8146
3.830,2.5,-40.4,39.7,24.7363,-60.9065,16.6655,-2.4433,2.1557,2.531
3.879,2.6,-38.1,39.8,22.5605,-58.737,18.9394,-2.1757,2.1695,2.2738
3.929,2.9,-36.0,39.8,20.6396,-56.5742,20.9776,-1.921,2.1629,2.0382
3.979,2.9,-34.0,40.3,18.9146,-54.4268,22.8564,-1.7249,2.1474,1.8788
4.029,2.7,-32.0,40.6,17.3443,-52.2935,24.5749,-1.5704,2.1333,1.7184
4.079,2.9,-30.3,40.5,15.9499,-50.2013,26.1122,-1.3944,2.0921,1.5373
4.128,3.0,-28.5,40.1,14.7031,-48.137,27.4589,-1.2468,2.0643,1.3467
4.178,3.1,-26.8,39.7,13.5884,-46.1073,28.6349,-1.1147,2.0297,1.176
4.229,3.1,-24.9,39.6,12.5826,-44.09,29.6864,-1.0058,2.0173,1.0515
4.279,3.1,-23.0,39.5,11.6746,-42.0838,30.6261,-0.908,2.0062,0.9397
4.329,3.1,-21.6,39.3,10.8545,-40.1353,31.4557,-0.8201,1.9485,0.8296
4.378,2.9,-20.2,39.2,10.0945,-38.2389,32.1957,-0.76,1.8963,0.7399
4.428,2.7,-19.4,39.1,9.3885,-36.4469,32.8548,-0.706,1.7921,0.6592
4.478,2.5,-18.2,39.0,8.7313,-34.7111,33.4411,-0.6572,1.7357,0.5863
4.529,2.5,-17.4,38.9,8.1371,-33.0644,33.9617,-0.5942,1.6467,0.5205
4.578,2.5,-16.8,38.7,7.5998,-31.5173,34.4133,-0.5373,1.5472,0.4516
4.627,2.6,-16.4,38.7,7.1234,-30.0792,34.8217,-0.4764,1.438,0.4084
4.677,2.6,-16.4,38.6,6.6926,-28.778,35.1816,-0.4309,1.3012,0.3599
4.727,2.7,-16.4,38.6,6.3124,-27.6006,35.5072,-0.3802,1.1775,0.3255
4.777,2.6,-16.4,38.7,5.9589,-26.5351,35.8111,-0.3535,1.0655,0.304
4.828,2.4,-16.2,38.7,5.6201,-25.552,36.0861,-0.3388,0.9831,0.275
4.877,2.2,-16.2,38.8,5.2946,-24.6624,36.3445,-0.3255,0.8896,0.2583
4.927,2.1,-16.2,39.0,4.9905,-23.8574,36.5972,-0.304,0.805,0.2527
4.977,2.1,-16.4,39.1,4.7155,-23.148,36.8354,-0.2751,0.7094,0.2382
5.028,2.1,-16.8,39.2,4.4666,-22.5441,37.0604,-0.2489,0.6039,0.225
5.077,2.1,-17.3,39.3,4.2414,-22.0453,37.2735,-0.2252,0.4988,0.2131
5.127,2.2,-17.5,39.4,4.0472,-21.6129,37.4758,-0.1942,0.4324,0.2023
5.177,2.2,-17.6,39.5,3.8714,-21.2312,37.6684,-0.1757,0.3817,0.1926
5.227,2.3,-17.7,39.7,3.7219,-20.8953,37.8617,-0.1495,0.3359,0.1933
5.277,2.3,-17.8,39.9,3.5867,-20.6009,38.0556,-0.1353,0.2944,0.1939
