Time(s),Roll(deg),Pitch(deg),Yaw(deg)
0.043,35.82,-75.67,-44.54
0.094,35.81,-75.71,-44.57
0.143,36.03,-75.82,-44.87
0.194,35.93,-75.93,-44.76
0.244,35.73,-76.01,-44.48
0.293,35.17,-76.2,-43.62
0.343,34.12,-76.53,-42.02
0.392,32.72,-76.95,-39.79
0.442,30.68,-77.2,-37.09
0.492,28.16,-77.3,-33.95
0.542,25.49,-77.31,-30.76
0.592,22.06,-77.11,-26.86
0.642,18.93,-77.06,-23.18
0.692,15.78,-77.06,-19.32
0.742,13.45,-77.11,-16.08
0.791,11.16,-77.0,-12.92
0.841,8.97,-76.83,-10.08
0.891,7.05,-76.64,-7.61
0.941,5.51,-76.51,-5.63
0.991,4.44,-76.38,-4.24
1.041,3.7,-76.2,-3.23
1.091,3.41,-76.06,-2.79
1.140,3.27,-76.04,-2.56
1.190,2.95,-75.85,-2.31
1.240,2.74,-75.67,-2.26
1.290,2.58,-75.57,-2.34
1.340,2.56,-75.52,-2.5
1.390,2.75,-75.61,-2.86
1.440,3.0,-75.64,-3.29
1.490,3.22,-75.76,-3.76
1.540,3.5,-75.82,-4.23
1.590,3.85,-75.94,-4.64
1.640,4.25,-76.02,-5.06
1.690,4.58,-76.16,-5.33
1.740,4.65,-76.24,-5.32
1.790,4.55,-76.19,-5.18
1.840,4.17,-76.11,-4.8
1.890,3.72,-76.06,-4.35
1.940,3.38,-75.94,-3.94
1.990,3.1,-75.86,-3.58
2.040,3.15,-75.93,-3.52
2.089,3.28,-75.98,-3.57
2.139,3.44,-76.05,-3.66
2.189,3.44,-76.03,-3.65
2.239,3.5,-76.06,-3.69
2.289,3.56,-76.04,-3.77
2.339,3.73,-76.1,-3.93
2.388,3.77,-76.22,-3.94
2.439,3.47,-76.24,-3.67
2.489,2.81,-76.15,-3.06
2.539,1.77,-75.95,-2.08
2.588,0.15,-75.58,-0.52
2.638,-2.0,-74.76,1.47
2.688,-4.32,-73.69,3.71
2.738,-6.43,-72.62,5.76
