Time(s),Roll(deg),Pitch(deg),Yaw(deg),Label
0.001,28.77,-47.6,-64.0,0
0.001,28.79,-47.42,-64.05,0
0.001,28.67,-47.39,-64.11,0
0.083,19.77,-54.55,-53.28,0
0.133,19.53,-54.77,-52.77,0
0.182,19.41,-55.2,-52.29,0
0.232,19.66,-55.99,-51.68,0
0.282,19.66,-56.99,-50.7,0
0.332,20.56,-58.46,-49.62,0
0.382,20.95,-59.71,-48.5,0
0.432,21.61,-61.22,-48.33,0
0.482,20.87,-62.53,-46.53,0
0.532,19.76,-63.69,-43.85,0
0.582,18.89,-64.78,-41.51,0
0.632,18.59,-65.55,-39.25,0
0.68,18.67,-66.39,-37.71,0
0.73,18.34,-67.41,-36.29,0
0.78,16.82,-67.84,-33.68,0
0.83,15.32,-68.21,-31.23,0
0.88,13.87,-68.36,-28.48,0
0.93,12.71,-68.55,-25.98,0
0.98,11.42,-68.84,-23.94,0
1.03,10.11,-68.98,-22.01,0
1.08,8.63,-68.54,-20.09,0
1.13,5.9,-67.24,-16.77,0
1.18,6.37,-66.15,-16.12,0
1.229,7.4,-65.62,-15.58,0
1.28,7.72,-64.82,-13.83,0
1.329,10.99,-64.7,-14.89,0
1.379,13.67,-64.94,-16.05,0
1.429,14.87,-64.61,-16.42,0
1.479,15.85,-64.42,-16.6,0
1.529,15.92,-64.58,-16.4,0
1.579,15.33,-64.8,-15.84,0
1.63,14.54,-64.85,-15.07,0
1.679,13.78,-64.8,-14.25,0
1.729,12.77,-64.53,-13.13,0
1.779,11.8,-64.2,-11.92,0
1.829,11.11,-63.96,-11.25,0
1.879,10.41,-63.61,-10.66,0
1.928,9.79,-63.28,-10.09,0
1.978,9.12,-63.01,-9.32,0
2.028,8.4,-62.73,-8.47,0
2.078,8.01,-62.58,-7.88,0
2.128,7.79,-62.45,-7.57,0
2.178,7.76,-62.4,-7.5,0
2.227,7.73,-62.4,-7.38,0
2.278,7.53,-62.24,-7.13,0
2.328,7.15,-62.02,-6.73,0
2.378,6.48,-61.55,-6.11,0
2.427,5.57,-60.96,-5.36,0
2.478,4.36,-60.14,-4.34,0
2.527,2.93,-59.08,-3.2,0
2.577,1.41,-57.9,-1.88,0
2.627,-0.19,-56.49,-0.48,0
2.677,-1.78,-54.94,1.01,0
2.727,-3.35,-53.25,2.55,0
2.777,-4.79,-51.6,4.05,0
2.827,-6.11,-49.79,5.3,0
2.877,-7.39,-48.06,6.57,0
2.927,-8.77,-46.33,7.65,0
2.977,-10.16,-44.46,8.89,1
3.027,-11.6,-42.62,10.07,1
3.077,-12.96,-40.67,11.24,1
3.127,-14.28,-38.8,12.27,1
3.177,-15.36,-36.79,13.06,1
3.226,-16.36,-34.86,13.71,1
3.276,-17.16,-32.8,14.35,1
3.326,-17.79,-30.94,14.82,1
3.377,-18.25,-29.1,15.22,1
3.427,-18.54,-27.52,15.58,1
3.477,-18.86,-25.91,15.79,1
3.527,-19.18,-24.35,16.09,1
3.576,-19.63,-22.7,16.46,1
3.627,-20.13,-20.85,16.69,1
3.677,-20.69,-18.9,16.93,1
3.726,-21.28,-16.84,17.25,1
3.776,-21.97,-14.69,17.57,1
3.826,-22.69,-12.36,17.95,1
3.875,-23.41,-10.03,18.27,1
3.925,-24.1,-7.88,18.51,1
3.975,-24.62,-5.82,18.81,1
4.026,-25.08,-4.21,19.12,1
4.076,-25.46,-2.67,19.41,1
4.126,-25.83,-1.33,19.76,1
4.176,-26.25,0.04,20.07,1
4.225,-26.56,1.19,20.37,1
4.274,-26.79,2.8,20.64,1
4.324,-26.92,4.35,20.87,1
4.375,-27.0,5.74,20.99,1
4.424,-27.06,7.01,21.05,1
4.474,-27.19,8.07,21.03,1
4.524,-27.38,9.11,20.97,1
4.574,-27.58,10.23,20.94,1
4.624,-27.71,11.59,20.94,1
4.675,-27.67,13.32,21.01,1
4.725,-27.61,15.67,21.0,1
4.775,-27.73,17.57,20.85,1
4.824,-27.97,18.35,20.68,1
4.874,-28.02,18.45,20.65,1
4.924,-28.0,17.97,20.74,1
4.974,-27.77,17.3,20.89,1
5.023,-27.56,16.62,20.98,1
5.073,-27.21,16.37,21.15,1
5.123,-26.95,16.33,21.33,1
5.173,-26.87,16.08,21.4,1
5.223,-26.72,15.67,21.44,1
5.273,-26.48,14.84,21.58,1
5.323,-26.29,14.16,21.68,1
5.374,-26.16,13.07,21.65,1
5.424,-25.98,11.6,21.68,1
5.474,-25.83,10.7,21.69,1
5.524,-25.8,10.24,21.72,1
5.573,-25.8,9.87,21.77,1
5.623,-25.83,9.48,21.81,1
5.673,-25.93,9.07,21.84,1
5.723,-26.13,8.81,21.89,1
5.773,-26.27,8.78,21.97,1
5.823,-26.24,8.9,22.13,1
5.873,-26.17,8.77,22.34,1
5.923,-26.22,8.38,22.5,1
5.973,-26.21,8.03,22.69,1
6.022,-26.32,7.28,22.92,1
6.072,-26.43,6.4,23.13,1
6.123,-26.44,5.86,23.32,1
6.172,-26.44,5.27,23.48,1
6.222,-26.41,4.88,23.69,1
6.271,-26.36,4.49,23.99,1
6.321,-26.33,4.07,24.25,1
6.371,-26.31,3.8,24.43,1
6.421,-26.31,3.3,24.54,1
6.471,-26.19,2.72,24.65,1
6.522,-26.12,1.92,24.69,1
6.571,-26.1,1.51,24.74,1
6.621,-26.03,1.38,24.77,1
6.671,-26.02,1.31,24.8,1
6.721,-25.99,1.38,24.78,1
6.77,-25.9,1.63,24.81,1
6.82,-25.82,2.09,24.88,1
6.87,-25.78,2.37,24.9,1
6.921,-25.62,3.03,25.0,1
6.971,-25.56,2.9,25.1,1
7.021,-25.56,2.5,25.13,1
7.071,-25.5,2.34,25.21,1
7.121,-25.42,2.46,25.35,1
7.171,-25.38,2.51,25.52,1
7.221,-25.26,1.9,25.6,1
7.271,-25.18,1.12,25.62,1
7.321,-25.05,0.47,25.69,1
7.371,-24.99,-0.01,25.76,1
7.42,-25.0,-0.14,25.77,1
7.471,-25.01,-0.01,25.88,1
7.52,-24.87,0.08,26.1,1
7.57,-24.72,-0.27,26.24,1
7.62,-24.62,-1.06,26.37,1
7.669,-24.58,-2.24,26.44,1
7.719,-24.5,-3.4,26.48,1
7.769,-24.18,-4.38,26.58,1
7.819,-23.7,-5.24,26.65,1
7.869,-23.31,-6.33,26.6,1
7.919,-22.96,-7.61,26.46,1
7.969,-22.67,-8.79,26.41,1
8.019,-22.23,-9.92,26.42,1
8.069,-22.0,-11.18,26.42,1
8.119,-22.01,-12.26,26.4,1
8.168,-22.32,-12.8,26.31,1
8.219,-22.44,-14.04,26.16,1
8.268,-22.26,-15.72,25.96,1
8.319,-22.04,-17.66,25.76,1
8.369,-21.79,-19.47,25.48,1
8.419,-21.28,-21.32,25.2,1
8.469,-20.7,-23.68,24.93,1
8.519,-19.9,-26.07,24.56,1
8.569,-19.15,-28.51,24.16,1
8.619,-18.59,-30.9,23.78,1
8.669,-18.13,-33.26,23.45,1
8.719,-17.38,-35.08,23.04,1
8.769,-16.37,-36.87,22.5,1
8.819,-15.19,-38.43,21.97,1
8.868,-14.33,-40.34,21.47,1
8.918,-13.46,-42.07,20.99,1
8.968,-12.63,-43.67,20.43,1
9.018,-11.77,-45.33,19.82,0
9.067,-10.98,-46.83,19.29,0
9.117,-9.87,-48.27,18.69,0
9.167,-8.62,-49.8,17.89,0
9.217,-7.49,-51.21,17.11,0
9.267,-6.54,-52.51,16.42,0
9.317,-5.49,-53.73,15.65,0
9.367,-4.37,-55.08,14.77,0
9.416,-3.19,-56.28,13.71,0
9.466,-2.0,-57.35,12.71,0
9.516,-0.59,-58.48,11.5,0
9.566,1.05,-59.77,10.05,0
9.617,2.86,-61.04,8.5,0
9.667,4.86,-62.56,6.72,0
9.717,7.1,-64.03,4.48,0
9.767,9.47,-65.32,2.13,0
9.817,11.87,-66.55,-0.23,0
9.867,14.14,-67.59,-2.28,0
9.917,16.4,-68.47,-4.4,0
9.967,18.76,-69.25,-6.5,0
10.017,20.94,-69.94,-8.5,0
10.067,23.28,-70.55,-10.72,0
10.117,25.89,-71.16,-13.26,0
10.166,28.47,-71.77,-15.58,0
10.217,31.08,-72.41,-17.86,0
10.266,32.83,-72.82,-19.46,0
10.316,33.98,-73.06,-20.57,0
10.366,34.9,-73.32,-21.44,0
10.415,35.68,-73.51,-22.2,0
10.466,36.66,-73.69,-23.18,0
10.516,37.5,-73.82,-24.04,0
10.566,38.67,-74.05,-25.12,0
10.616,39.95,-74.26,-26.42,0
10.665,41.43,-74.52,-27.98,0
10.715,42.85,-74.73,-29.39,0
10.765,44.77,-75.05,-31.25,0
10.815,46.1,-75.26,-32.58,0
10.865,47.12,-75.44,-33.65,0
10.914,47.98,-75.61,-34.57,0
10.964,48.32,-75.7,-35.05,0
11.014,48.44,-75.74,-35.33,0
11.064,48.33,-75.76,-35.37,0
11.114,48.23,-75.78,-35.42,0
11.164,47.91,-75.84,-35.26,0
11.214,48.13,-75.88,-35.57,0
11.264,48.04,-75.87,-35.64,0
11.314,48.31,-75.9,-36.05,0
11.364,48.45,-75.92,-36.42,0
11.414,48.38,-75.92,-36.63,0
11.464,48.58,-75.97,-37.11,0
11.514,48.33,-75.97,-37.17,0
11.563,47.66,-75.95,-36.87,0
11.613,47.58,-75.91,-37.19,0
11.663,47.46,-75.89,-37.39,0
11.713,47.83,-75.94,-38.02,0
11.763,48.42,-75.95,-38.85,0
11.813,48.96,-75.95,-39.65,0
11.863,49.3,-75.95,-40.27,0
11.913,50.03,-75.93,-41.16,0
11.963,50.65,-75.91,-41.86,0
12.013,51.07,-75.9,-42.41,0
12.063,51.42,-75.92,-42.89,0
12.113,51.83,-75.95,-43.39,0
12.163,51.64,-75.99,-43.28,0
12.213,51.19,-76.05,-42.86,0
12.263,51.05,-76.1,-42.72,0
12.313,52.14,-76.17,-43.79,0
12.363,51.53,-76.05,-43.44,0
12.412,50.66,-76.13,-42.87,0
12.463,51.03,-76.16,-43.63,0
12.513,51.28,-76.42,-44.2,0
12.563,49.71,-77.18,-43.15,0
12.613,50.31,-77.6,-44.0,0
12.662,50.45,-77.61,-44.78,0
12.712,49.98,-77.61,-44.9,0
12.762,49.55,-77.47,-45.39,0
12.811,49.72,-77.44,-46.24,0
12.861,49.05,-77.28,-46.45,0
12.911,48.79,-77.22,-46.75,0
12.961,48.73,-77.19,-47.23,0
13.011,48.87,-77.06,-48.1,0
13.061,48.78,-77.16,-48.6,0
13.111,49.36,-77.43,-49.29,0
13.161,51.77,-77.65,-51.62,0
13.211,52.96,-77.74,-52.51,0
13.261,52.7,-77.6,-52.56,0
13.31,52.98,-77.48,-53.37,0
13.36,53.54,-77.35,-54.79,0
13.41,54.37,-77.21,-56.63,0
13.46,54.48,-77.1,-57.86,0
13.51,53.01,-76.78,-57.91,0
13.56,51.54,-76.46,-57.78,0
13.61,50.4,-76.06,-57.74,0
13.661,48.8,-75.67,-57.06,0
13.711,46.61,-75.27,-55.83,0
13.761,45.62,-74.99,-55.65,0
13.811,45.66,-74.94,-55.99,0
13.861,45.99,-74.92,-56.42,0
13.911,46.21,-74.91,-56.73,0
13.959,46.84,-74.86,-57.4,0
14.009,47.72,-74.78,-58.29,0
14.06,47.94,-74.7,-58.53,0
14.109,47.33,-74.63,-58.14,0
14.16,46.79,-74.65,-57.34,0
14.21,46.67,-74.67,-56.79,0
14.26,46.81,-74.59,-56.63,0
14.31,46.3,-74.51,-55.91,0
14.36,45.58,-74.36,-55.19,0
14.41,45.64,-74.29,-55.27,0
14.459,46.42,-74.19,-56.24,0
14.509,47.96,-74.18,-57.95,0
14.559,49.9,-74.23,-60.15,0
14.609,50.89,-74.24,-61.26,0
14.658,51.79,-74.23,-62.2,0
14.708,52.31,-74.2,-62.78,0
14.758,52.46,-74.17,-62.98,0
14.808,52.76,-74.11,-63.41,0
14.858,53.04,-74.01,-63.97,0
14.908,53.74,-73.94,-65.0,0
14.958,54.88,-73.8,-66.38,0
15.009,55.81,-73.62,-67.4,0
15.058,56.09,-73.42,-68.08,0
15.108,55.5,-73.18,-68.06,0
15.158,54.36,-72.92,-67.33,0
15.208,53.7,-72.69,-66.96,0
15.258,53.2,-72.55,-66.57,0
15.308,53.07,-72.47,-66.64,0
15.358,52.82,-72.47,-66.44,0
15.408,52.3,-72.4,-66.01,0
15.458,52.03,-72.4,-65.6,0
