Time(s),Roll(deg),Pitch(deg),Yaw(deg),Delta_Roll,Delta_Pitch,Delta_Yaw
0.049,50.7,-54.6,-77.4,0.0,0.0,0.0
0.099,48.8,-54.9,-76.5,-1.9,-0.3,0.9
0.150,47.3,-55.6,-76.0,-1.5,-0.7,0.5
0.200,46.0,-56.9,-75.8,-1.3,-1.3,0.2
0.249,43.8,-58.4,-75.2,-2.2,-1.5,0.6
0.299,41.8,-60.2,-74.5,-2.0,-1.8,0.7
0.349,39.7,-62.0,-72.8,-2.1,-1.8,1.7
0.399,38.9,-64.5,-71.9,-0.8,-2.5,0.9
0.449,36.1,-66.8,-71.1,-2.8,-2.3,0.8
0.499,35.2,-68.9,-71.7,-0.9,-2.1,-0.6
0.548,37.5,-70.9,-72.8,2.3,-2.0,-1.1
0.599,36.2,-72.5,-73.0,-1.3,-1.6,-0.2
0.648,34.0,-73.6,-72.8,-2.2,-1.1,0.2
0.698,30.8,-74.3,-73.0,-3.2,-0.7,-0.2
0.748,31.6,-75.0,-74.8,0.8,-0.7,-1.8
0.798,35.9,-75.7,-79.0,4.3,-0.7,-4.2
0.848,37.7,-76.2,-81.3,1.8,-0.5,-2.3
0.898,38.4,-76.6,-82.3,0.7,-0.4,-1.0
0.948,38.9,-76.8,-83.3,0.5,-0.2,-1.0
0.998,37.7,-76.8,-82.8,-1.2,0.0,0.5
1.048,35.5,-76.3,-80.7,-2.2,0.5,2.1
1.098,33.7,-75.7,-78.8,-1.8,0.6,1.9
1.148,31.0,-74.9,-76.8,-2.7,0.8,2.0
1.198,27.2,-73.6,-74.0,-3.8,1.3,2.8
1.247,24.4,-71.8,-71.4,-2.8,1.8,2.6
1.297,19.3,-69.3,-66.6,-5.1,2.5,4.8
1.347,16.1,-66.4,-62.7,-3.2,2.9,3.9
1.397,14.0,-63.5,-59.7,-2.1,2.9,3.0
1.447,11.7,-60.0,-56.9,-2.3,3.5,2.8
1.497,10.8,-57.1,-56.0,-0.9,2.9,0.9
1.547,10.8,-54.0,-55.1,0.0,3.1,0.9
1.597,9.1,-50.5,-53.5,-1.7,3.5,1.6
