Time(s),Roll_Filtered,Pitch_Filtered,Yaw_Filtered,Label
0.001,28.77369974860045,-47.59116957975255,-64.01802820181786,0
0.001,26.47172563243494,-49.10869048753254,-61.439136120968726,0
0.001,24.3135593236021,-50.62615088420226,-58.93549599621532,0
0.083,22.449648674428893,-52.126354775321914,-56.60235107488019,0
0.133,21.02190524008974,-53.57808158952227,-54.54642549328617,0
0.182,20.12109623453239,-54.95458912334778,-52.84553894625007,0
0.232,19.745391343226636,-56.25193140475647,-51.50497378658437,0
0.282,19.788936437996796,-57.49168669959107,-50.44113775048841,0
0.332,20.069857162746285,-58.70724924810741,-49.50211286639415,0
0.382,20.38534482232375,-59.924428809568376,-48.51363650229043,0
0.432,20.569974777453456,-61.148129872103226,-47.33020144816033,0
0.482,20.533852477430937,-62.360663517891936,-45.872168035922755,0
0.532,20.267175070047884,-63.53003222235896,-44.13644413485277,0
0.582,19.81328019014599,-64.62223595043253,-42.17887126408801,0
0.632,19.22636923212773,-65.61127365728831,-40.07855550935971,0
0.68,18.535330270581216,-66.48302202347023,-37.90199286036375,0
0.73,17.728826925184915,-67.23256243691115,-35.68275230604361,0
0.78,16.76419137395313,-67.85707013115533,-33.42215484534388,0
0.83,15.592486589697867,-68.34761370337735,-31.105358524258197,0
0.88,14.189308591496863,-68.68370485929324,-28.722511667317132,0
0.93,12.583095792340986,-68.83434316540234,-26.286947179581375,0
0.98,10.874358477895896,-68.76766480165844,-23.84701306608597,0
1.03,9.238311493753645,-68.46740068188129,-21.49023261634863,0
1.08,7.903276531113469,-67.94953885676802,-19.337520607694316,0
1.13,7.102686830611586,-67.27025729475801,-17.52469975286317,0
1.18,7.010097178365489,-66.51912308018795,-16.172023944935603,0
1.229,7.678269599355997,-65.79880018739088,-15.348874939591873,0
1.28,9.006743446723432,-65.19941800671616,-15.045594145530902,0
1.329,10.753815646183334,-64.77784032797199,-15.164145298217228,0
1.379,12.59234307554303,-64.54863409910472,-15.533918022612939,0
1.429,14.191579034566145,-64.48745382974262,-15.949978819771255,0
1.479,15.29693373798151,-64.54270003899842,-16.22167794317482,0
1.529,15.781321209155086,-64.65001948663851,-16.214962818391125,0
1.579,15.654677985873562,-64.74589621726058,-15.87508948113544,0
1.63,15.0350890760462,-64.77866612749939,-15.225189251519678,0
1.679,14.0976126289254,-64.71609250454463,-14.345078166213334,0
1.729,13.021080667542098,-64.54868862385342,-13.340146762606686,0
1.779,11.949209517535662,-64.28845901991963,-12.311329285781053,0
1.829,10.973691846846778,-63.96380777999624,-11.334843965004909,0
1.879,10.137717049220747,-63.61224969054393,-10.455716475306236,0
1.928,9.451695120944832,-63.27264451547578,-9.693293087862061,0
1.978,8.91053547425134,-62.97812188307752,-9.052143771226966,0
2.028,8.503995094773641,-62.75028211328681,-8.530510346694749,0
2.078,8.217071370998669,-62.59503645561735,-8.121660413460475,0
2.128,8.023406190374091,-62.50052503871219,-7.809051449178747,0
2.178,7.878216450045315,-62.43760832809448,-7.560369473092252,0
2.227,7.716915002397535,-62.36318301460039,-7.325850291101882,0
2.278,7.462147107259556,-62.2259753565968,-7.043311905244198,0
2.328,7.0376902934120515,-61.97376920655965,-6.648536466043694,0
2.378,6.384666752682819,-61.560628467313904,-6.087346776194435,0
2.427,5.474747474599985,-60.95278774601565,-5.325607282811813,0
2.478,4.31625249953468,-60.13237291142567,-4.354710292515641,0
2.527,2.951434667831298,-59.098653654240906,-3.1917818588432905,0
2.577,1.445867900321518,-57.86690231066619,-1.8751501863883178,0
2.627,-0.12700145971193866,-56.46512546103309,-0.4563862913997806,0
2.677,-1.701933201333124,-54.92907346379537,1.0093940492272955,0
2.727,-3.234397291645837,-53.29616609508265,2.4730509263713474,0
2.777,-4.706336418362528,-51.59932813474843,3.8986953050710653,0
2.827,-6.12386322075859,-49.86202603454552,5.26681924934329,0
2.877,-7.507892914678415,-48.09576754911493,6.572294270663911,0
2.927,-8.880920634057823,-46.30084009265864,7.817980902996567,0
2.977,-10.254394665300111,-44.470217349775716,9.006563079463449,1
3.027,-11.620783383733015,-42.595640871617235,10.134103250920345,1
3.077,-12.952607987264418,-40.67422012069644,11.187996630198919,1
3.127,-14.208265040188772,-38.71366376085785,12.149834362677959,1
3.177,-15.34241153449035,-36.73442057183385,13.001408680608657,1
3.226,-16.317666762457755,-34.76754370938217,13.730977706580411,1
3.276,-17.114459717968316,-32.84809362410946,14.3373616374406,1
3.326,-17.73666756243842,-31.005346868566637,14.830834900230371,1
