Time(s),Roll_Filtered,Pitch_Filtered,Yaw_Filtered,Label
0.043,35.84718437833941,-75.67177399969839,-44.57469301974902,0
0.094,36.02501005365821,-75.72029905863266,-44.85555338339937,0
0.143,36.12739819947481,-75.79705932684625,-45.00118775368743,0
0.194,36.07562487440779,-75.92296254318893,-44.884506745853415,0
0.244,35.77997432243897,-76.10539924394773,-44.38645040606431,0
0.293,35.14650707597987,-76.33546780238977,-43.40796515781722,0
0.343,34.09150922224922,-76.5895156017947,-41.88370791517834,0
0.392,32.559664538845155,-76.83519511024645,-39.7927570606399,0
0.442,30.540426964752065,-77.04050685369015,-37.16275024971913,0
0.492,28.077202366075806,-77.18266401525523,-34.06661642378445,0
0.542,25.265740095036673,-77.25330854537054,-30.613545047052902,0
0.592,22.241200541209345,-77.25818341351737,-26.936799045767906,0
0.642,19.156957951099876,-77.21204499732953,-23.180644294053035,0
0.692,16.16113457547422,-77.13177174167248,-19.488030712014965,0
0.742,13.377616910988593,-77.03097469809788,-15.990191134283801,0
0.791,10.895936020273162,-76.9178836434378,-12.798712218487367,0
0.841,8.769927128624635,-76.79612449500026,-9.999750249718922,0
0.891,7.021417896836102,-76.6667431222139,-7.649584467271871,0
0.941,5.644775711902453,-76.53000948778075,-5.771318190334781,0
0.991,4.610706444888865,-76.38650265103013,-4.353888816771137,0
1.041,3.8706578922145956,-76.23776085425702,-3.355338990095147,0
1.091,3.364069323531511,-76.08693657512757,-2.7115114882827736,0
1.14,3.028997201204494,-75.93955477171671,-2.349112929445139,0
1.19,2.813785184451858,-75.80397680893799,-2.199699437983238,0
1.24,2.685659389964515,-75.69091212381942,-2.210129657434794,0
1.29,2.6328157237187013,-75.61160982825828,-2.346199085241227,0
1.34,2.6592731103207288,-75.57510744343557,-2.588906405979906,0
1.39,2.774689038777182,-75.5855389586377,-2.9255918575126345,0
1.44,2.9828815624578735,-75.64050374744485,-3.339760864601954,0
1.49,3.2726736448124694,-75.73095195818209,-3.803400706874286,0
1.54,3.613620723574225,-75.84245330218504,-4.274413007272557,0
1.59,3.9579738332071517,-75.95745876432912,-4.700088944814569,0
1.64,4.2489478836977765,-76.05819679633167,-5.025844008718422,0
1.69,4.43368789313093,-76.12986864915007,-5.20691953481799,0
1.74,4.477413575894907,-76.16361515977567,-5.21965640097389,0
1.79,4.37403370580747,-76.15844178596022,-5.0686854853265055,0
