Time(s),Roll(deg),Pitch(deg),Yaw(deg)
0.01,-3.52,-67.56,-36.01
0.059,-3.5,-67.57,-36.07
0.109,-3.49,-67.56,-36.08
0.159,-3.52,-67.51,-36.1
0.209,-3.57,-67.5,-36.1
0.259,-3.61,-67.48,-36.09
0.309,-3.69,-67.46,-36.07
0.359,-3.78,-67.44,-36
0.409,-3.84,-67.43,-36
0.459,-3.91,-67.42,-35.92
0.509,-3.98,-67.38,-35.88
0.559,-3.96,-67.38,-35.88
0.609,-3.89,-67.44,-35.91
0.658,-4.01,-67.5,-35.69
0.708,-4.26,-67.46,-35.34
0.758,-4.82,-67.41,-34.59
0.808,-5.49,-67.34,-33.72
0.858,-6.18,-67.22,-32.81
0.908,-6.72,-67.15,-31.98
0.958,-7.03,-67.14,-31.34
1.008,-7.35,-67.17,-30.65
1.058,-7.78,-67.16,-29.94
1.108,-8.18,-67.19,-29.26
1.158,-8.64,-67.18,-28.56
1.208,-9.1,-67.23,-27.8
1.257,-9.68,-67.18,-26.95
1.308,-10.47,-67.07,-25.85
1.357,-11.53,-66.82,-24.5
1.407,-12.79,-66.44,-22.93
1.457,-14.39,-65.84,-21.01
1.507,-15.99,-65.22,-19.14
1.557,-17.71,-64.48,-17.01
1.607,-19.49,-63.6,-14.79
1.657,-21.3,-62.85,-12.36
1.707,-22.84,-61.96,-10.28
1.757,-24.26,-61.2,-7.99
1.806,-25.44,-60.45,-6.04
1.856,-26.41,-60.08,-4.29
1.906,-27.19,-59.73,-2.8
1.956,-28.01,-59.5,-1.25
2.005,-29.02,-58.94,0.53
2.055,-30.36,-58.11,2.83
2.105,-31.85,-56.78,5.35
2.155,-33.69,-54.96,8.55
2.205,-34.74,-52.6,11.57
2.255,-34.98,-49.48,14.45
2.305,-34.73,-46.19,16.97
2.356,-34.45,-43.47,18.51
2.406,-34.22,-41.36,19.7
2.455,-34.17,-39.55,20.49
2.505,-34.1,-38.48,21.07
2.555,-34.17,-38.25,21.69
2.605,-34.15,-38.06,22.15
2.655,-34,-37.93,22.64
2.705,-33.8,-37.69,23.17
2.755,-33.59,-37.19,23.85
2.805,-33.5,-36.6,24.73
2.855,-33.54,-36.16,25.5
2.905,-33.59,-35.6,26.1
2.955,-33.52,-35.35,26.61
3.005,-33.27,-34.98,26.91
3.054,-33.07,-34.69,26.92
3.105,-32.94,-34.7,26.98
3.154,-32.77,-34.34,27.05
3.204,-32.56,-33.62,27.35
3.254,-32.19,-32.59,27.89
3.304,-31.82,-31.22,28.29
3.354,-31.43,-29.66,28.68
3.404,-31.13,-28.34,28.99
3.453,-30.99,-26.98,29.33
3.504,-30.99,-25.96,29.51
3.554,-31.1,-25.17,29.77
3.603,-31.26,-24.25,29.98
3.653,-31.27,-23.91,30.33
3.703,-31.11,-23.02,30.51
3.752,-30.88,-21.38,30.66
3.802,-30.43,-19.34,31.12
3.852,-30.36,-18.09,31.41
3.903,-30.17,-17.07,31.78
3.952,-29.91,-14.73,31.88
4.002,-29.82,-13.55,31.97
4.053,-29.68,-13.55,32.1
4.103,-29.45,-12.93,32.16
4.153,-29.14,-12.05,32.26
4.203,-28.79,-11.37,32.4
4.252,-28.46,-10.77,32.67
4.301,-28.36,-10.01,32.74
4.352,-28.3,-9.39,32.95
4.402,-28.14,-8.99,33.22
4.452,-28.07,-8.56,33.42
4.501,-27.97,-8.38,33.63
4.551,-27.89,-7.94,33.8
4.601,-27.87,-7.2,34.01
4.652,-27.73,-6.3,34.19
4.702,-27.46,-5.12,34.32
4.751,-27.21,-3.72,34.3
4.801,-26.95,-2.29,34.24
4.852,-26.84,-0.82,34.16
4.901,-26.65,0.19,34.25
4.951,-26.54,1.17,34.3
5.001,-26.41,2.05,34.28
5.051,-26.28,2.48,34.36
5.101,-26.11,2.64,34.45
5.151,-26.01,2.79,34.59
5.201,-25.99,2.95,34.83
5.251,-25.78,3.16,35.09
5.3,-25.91,2.78,35.2
5.35,-26.21,2.59,35.28
5.4,-26.29,2.35,35.43
5.45,-26.09,1.81,35.59
5.5,-25.85,1.42,35.74
5.55,-25.6,1.24,35.85
5.599,-25.24,1.11,35.98
5.649,-24.98,1.02,36.11
5.699,-24.89,0.98,36.19
5.749,-24.9,0.93,36.26
5.799,-24.95,0.83,36.29
5.849,-24.95,0.6,36.37
5.899,-25.03,0.52,36.47
5.949,-25.13,0.32,36.62
5.999,-25.35,0.17,36.72
6.048,-25.62,0.05,36.85
6.098,-25.78,-0.06,36.99
6.148,-25.96,-0.09,37.12
6.199,-26,-0.16,37.27
6.249,-25.96,-0.16,37.4
6.299,-25.86,-0.17,37.46
6.349,-25.75,-0.24,37.48
6.399,-25.69,-0.31,37.52
6.449,-25.62,-0.48,37.55
6.499,-25.62,-0.62,37.55
6.549,-25.58,-0.88,37.54
6.599,-25.55,-1.19,37.53
6.648,-25.6,-1.7,37.48
6.698,-25.68,-2.75,37.4
6.748,-25.77,-4.25,37.29
6.798,-25.63,-6,37.23
6.848,-25.59,-7.66,37.12
6.898,-25.55,-9.68,37.09
6.948,-25.7,-11.96,37.05
6.998,-25.69,-14.38,37.03
7.048,-25.82,-17.04,37.02
7.098,-25.73,-19.55,37.13
7.148,-25.7,-21.8,37.22
7.198,-25.85,-24.14,37.33
7.248,-25.91,-26.45,37.43
7.297,-26.17,-28.04,37.49
7.347,-26.49,-29.59,37.71
7.398,-26.9,-30.94,37.95
7.448,-27.12,-31.9,38.14
7.498,-27.33,-32.75,38.49
7.547,-27.47,-34.11,38.74
7.597,-27.61,-35.04,38.55
7.647,-28,-36.47,38.52
7.696,-28.44,-38.2,38.61
7.746,-28.93,-39.68,38.73
7.796,-29.29,-41.14,38.76
7.846,-29.61,-42.78,38.89
7.896,-29.84,-44.28,38.76
7.946,-30.06,-45.63,38.58
7.996,-30.33,-47.2,38.23
8.045,-30.61,-48.68,37.92
8.096,-30.9,-50.39,37.58
8.146,-30.98,-51.83,37.13
8.196,-30.98,-53.04,36.67
8.246,-30.91,-53.75,36.48
8.296,-30.91,-54.33,36.57
8.346,-30.97,-55.16,36.28
8.396,-30.92,-55.91,35.75
8.446,-30.77,-56.57,35.19
8.496,-30.7,-57.15,34.46
8.546,-30.54,-57.81,32.78
8.596,-30.39,-58.6,31.11
8.646,-30.34,-59.54,29.94
8.695,-30.12,-60.46,29.01
8.745,-29.79,-61.66,28.15
8.795,-29.34,-62.76,26.95
8.845,-28.76,-63.83,25.9
8.895,-27.98,-64.88,24.66
8.945,-27.27,-65.98,23.74
8.995,-26.51,-67.12,22.91
9.045,-25.44,-68.01,21.65
9.095,-24.13,-68.89,20.13
9.144,-22.72,-69.8,18.39
9.194,-21.21,-70.65,16.33
9.244,-19.64,-71.57,14.23
9.294,-17.99,-72.2,12.14
9.344,-16.43,-72.98,10.21
9.394,-14.86,-73.66,8.16
9.443,-13.38,-74.31,6.17
9.494,-12,-74.73,4.23
9.543,-10.38,-75.15,2.09
9.594,-8.74,-75.5,-0.16
9.643,-7.21,-75.95,-2.2
9.692,-5.63,-76.36,-4.25
9.742,-4.2,-76.64,-6.19
9.792,-2.71,-76.85,-8.25
9.842,-1.48,-77.04,-10.04
9.893,-0.38,-76.91,-11.89
9.942,0.76,-76.73,-13.83
9.992,1.82,-76.26,-15.9
10.043,2.41,-75.99,-17.56
10.092,2.84,-75.89,-18.96
10.142,3.4,-75.81,-20.43
10.193,4.3,-75.72,-22.23
10.242,5.24,-75.47,-24.07
10.293,6.23,-75.09,-25.97
10.341,7.65,-74.72,-28.3
10.393,9.46,-74.49,-30.9
10.442,11.39,-74.23,-33.56
10.493,13.49,-74.08,-36.34
10.543,15.35,-73.98,-38.8
10.592,16.78,-73.83,-40.75
10.642,17.74,-73.68,-42.2
10.692,18.2,-73.46,-43.04
10.742,18.42,-73.29,-43.55
10.792,18.45,-73.07,-43.82
10.842,18.28,-72.85,-43.87
10.892,18.03,-72.56,-43.99
10.942,17.79,-72.28,-44.07
10.992,17.57,-72.03,-44.18
11.042,17.44,-71.81,-44.3
11.092,17.47,-71.62,-44.55
11.142,17.73,-71.42,-45.14
11.191,18.13,-71.14,-45.82
11.241,18.45,-70.69,-46.41
11.291,18.47,-70.17,-46.81
11.341,18.65,-69.79,-47.21
11.391,18.86,-69.51,-47.5
