Time(s),Roll(deg),Pitch(deg),Yaw(deg),Delta_Roll,Delta_Pitch,Delta_Yaw
0.000,-121.3,-83.3,176.0,0.0,0.0,0.0
0.000,-121.1,-83.1,175.8,0.2,0.2,-0.2
0.001,-120.5,-83.0,175.2,0.6,0.1,-0.6
0.001,-120.0,-83.0,174.8,0.5,0.0,-0.4
0.001,-119.1,-83.1,174.0,0.9,-0.1,-0.8
0.001,-118.6,-83.0,173.6,0.5,0.1,-0.4
0.001,-118.1,-83.0,173.1,0.5,0.0,-0.5
0.001,-117.9,-83.0,173.0,0.2,0.0,-0.1
0.001,-118.2,-83.0,173.2,-0.3,0.0,0.2
0.002,-118.7,-83.0,173.8,-0.5,0.0,0.6
0.002,-119.1,-83.0,174.2,-0.4,0.0,0.4
0.002,-11954.5,-87.4,-4.6,-11835.4,-4.4,-178.8
0.052,58.2,-87.5,-8.1,12012.7,-0.1,-3.5
0.102,65.4,-87.5,-15.4,7.2,0.0,-7.3
0.152,74.4,-87.8,-24.1,9.0,-0.3,-8.7
0.202,81.0,-87.9,-30.5,6.6,-0.1,-6.4
0.252,85.5,-88.3,-34.6,4.5,-0.4,-4.1
0.302,88.4,-88.6,-37.3,2.9,-0.3,-2.7
0.351,93.8,-88.8,-42.4,5.4,-0.2,-5.1
0.401,101.6,-89.0,-50.0,7.8,-0.2,-7.6
0.451,122.2,-89.6,-70.2,20.6,-0.6,-20.2
0.501,-173.2,-89.6,-134.4,-295.4,0.0,-64.2
0.552,-133.7,-89.5,-173.8,39.5,0.1,-39.4
0.601,-128.7,-89.1,-178.3,5.0,0.4,-4.5
0.651,-127.1,-88.7,-179.4,1.6,0.4,-1.1
0.701,-129.9,-88.4,-176.2,-2.8,0.3,3.2
0.751,-134.0,-87.6,-171.3,-4.1,0.8,4.9
0.801,-135.8,-86.9,-168.7,-1.8,0.7,2.6
0.851,-137.1,-86.3,-166.8,-1.3,0.6,1.9
0.901,-137.2,-85.8,-165.9,-0.1,0.5,0.9
0.951,-137.0,-85.4,-165.7,0.2,0.4,0.2
1.001,-136.7,-85.0,-165.4,0.3,0.4,0.3
1.051,-136.1,-84.8,-165.6,0.6,0.2,-0.2
1.101,-135.5,-84.6,-165.7,0.6,0.2,-0.1
1.150,-134.7,-84.5,-166.3,0.8,0.1,-0.6
1.200,-133.5,-84.4,-167.1,1.2,0.1,-0.8
1.251,-132.8,-84.4,-167.7,0.7,0.0,-0.6
1.300,-132.0,-84.4,-168.4,0.8,0.0,-0.7
1.350,-131.5,-84.3,-168.9,0.5,0.1,-0.5
1.400,-130.6,-84.2,-169.8,0.9,0.1,-0.9
1.450,-129.7,-84.3,-170.7,0.9,-0.1,-0.9
1.500,-129.0,-84.2,-171.4,0.7,0.1,-0.7
1.550,-128.4,-84.2,-172.0,0.6,0.0,-0.6
1.600,-127.8,-84.2,-172.6,0.6,0.0,-0.6
1.650,-127.8,-84.2,-172.6,0.0,0.0,0.0
1.700,-128.3,-84.1,-171.9,-0.5,0.1,0.7
1.749,-129.3,-84.0,-170.9,-1.0,0.1,1.0
1.799,-129.7,-84.0,-170.4,-0.4,0.0,0.5
1.850,-129.8,-84.0,-170.2,-0.1,0.0,0.2
1.899,-129.4,-84.1,-170.5,0.4,-0.1,-0.3
1.949,-130.1,-84.1,-169.8,-0.7,0.0,0.7
1.999,-130.9,-84.1,-169.0,-0.8,0.0,0.8
2.049,-131.0,-84.0,-168.9,-0.1,0.1,0.1
2.099,-130.6,-84.0,-169.5,0.4,0.0,-0.6
2.149,-130.3,-83.9,-169.6,0.3,0.1,-0.1
2.198,-130.7,-83.9,-169.2,-0.4,0.0,0.4
2.249,-130.4,-83.7,-169.4,0.3,0.2,-0.2
2.299,-130.6,-83.7,-169.0,-0.2,0.0,0.4
2.349,-130.9,-83.6,-168.4,-0.3,0.1,0.6
2.399,-131.1,-83.6,-167.9,-0.2,0.0,0.5
2.449,-131.5,-83.6,-167.2,-0.4,0.0,0.7
2.498,-132.3,-83.7,-166.1,-0.8,-0.1,1.1
2.548,-132.8,-83.8,-165.4,-0.5,-0.1,0.7
2.598,-134.0,-83.8,-163.9,-1.2,0.0,1.5
2.648,-135.3,-83.9,-162.4,-1.3,-0.1,1.5
2.698,-136.0,-83.9,-161.7,-0.7,0.0,0.7
2.748,-135.9,-83.7,-161.9,0.1,0.2,-0.2
2.798,-136.4,-83.8,-161.3,-0.5,-0.1,0.6
2.848,-137.1,-83.7,-160.6,-0.7,0.1,0.7
2.898,-136.6,-83.5,-161.0,0.5,0.2,-0.4
2.948,-135.7,-83.4,-161.9,0.9,0.1,-0.9
2.998,-134.7,-83.2,-162.9,1.0,0.2,-1.0
3.048,-134.8,-83.1,-162.6,-0.1,0.1,0.3
3.097,-134.8,-83.1,-162.4,0.0,0.0,0.2
3.147,-135.0,-83.0,-162.2,-0.2,0.1,0.2
3.197,-135.5,-83.0,-161.5,-0.5,0.0,0.7
3.247,-136.7,-83.1,-160.3,-1.2,-0.1,1.2
3.297,-137.4,-83.1,-159.6,-0.7,0.0,0.7
3.347,-138.0,-82.9,-159.0,-0.6,0.2,0.6
3.397,-139.1,-82.9,-158.0,-1.1,0.0,1.0
3.447,-140.8,-82.9,-156.1,-1.7,0.0,1.9
3.497,-141.5,-82.9,-155.4,-0.7,0.0,0.7
3.547,-141.7,-82.8,-155.0,-0.2,0.1,0.4
3.597,-141.6,-82.8,-154.9,0.1,0.0,0.1
3.647,-141.7,-82.7,-154.5,-0.1,0.1,0.4
3.697,-141.7,-82.7,-154.2,0.0,0.0,0.3
3.746,-141.7,-82.6,-153.9,0.0,0.1,0.3
3.796,-141.4,-82.5,-153.9,0.3,0.1,0.0
3.846,-140.6,-82.5,-154.4,0.8,0.0,-0.5
3.896,-140.5,-82.4,-154.2,0.1,0.1,0.2
3.946,-140.3,-82.3,-154.3,0.2,0.1,-0.1
3.996,-140.4,-82.2,-154.2,-0.1,0.1,0.1
4.046,-140.3,-82.1,-154.0,0.1,0.1,0.2
4.096,-140.8,-82.1,-153.5,-0.5,0.0,0.5
4.146,-140.4,-82.1,-153.9,0.4,0.0,-0.4
4.196,-140.0,-82.1,-154.4,0.4,0.0,-0.5
4.246,-139.4,-82.1,-155.0,0.6,0.0,-0.6
4.295,-138.8,-82.1,-155.6,0.6,0.0,-0.6
4.346,-138.5,-82.2,-155.6,0.3,-0.1,0.0
4.395,-138.7,-82.3,-155.3,-0.2,-0.1,0.3
4.445,-138.6,-82.3,-155.3,0.1,0.0,0.0
4.495,-138.7,-82.2,-155.0,-0.1,0.1,0.3
4.545,-138.7,-82.2,-154.8,0.0,0.0,0.2
4.595,-138.7,-82.1,-154.6,0.0,0.1,0.2
4.646,-138.3,-82.0,-154.7,0.4,0.1,-0.1
4.695,-137.8,-81.9,-154.8,0.5,0.1,-0.1
4.745,-137.1,-81.9,-155.4,0.7,0.0,-0.6
4.795,-136.4,-81.8,-155.8,0.7,0.1,-0.4
4.845,-135.9,-81.8,-156.1,0.5,0.0,-0.3
4.895,-135.1,-81.7,-156.8,0.8,0.1,-0.7
4.944,-133.9,-81.8,-158.0,1.2,-0.1,-1.2
4.994,-132.3,-81.8,-159.6,1.6,0.0,-1.6
5.044,-130.5,-81.8,-161.4,1.8,0.0,-1.8
5.094,-129.0,-81.8,-162.8,1.5,0.0,-1.4
5.144,-128.4,-81.8,-163.3,0.6,0.0,-0.5
5.194,-127.8,-81.8,-163.8,0.6,0.0,-0.5
5.244,-127.3,-81.8,-164.2,0.5,0.0,-0.4
5.294,-126.8,-81.7,-164.6,0.5,0.1,-0.4
5.344,-126.4,-81.7,-164.9,0.4,0.0,-0.3
5.394,-125.9,-81.7,-165.3,0.5,0.0,-0.4
5.444,-125.4,-81.6,-165.7,0.5,0.1,-0.4
5.494,-125.2,-81.6,-165.6,0.2,0.0,0.1
5.544,-125.1,-81.5,-165.6,0.1,0.1,0.0
5.594,-124.6,-81.5,-166.1,0.5,0.0,-0.5
5.643,-124.3,-81.5,-166.4,0.3,0.0,-0.3
5.693,-124.3,-81.5,-166.3,0.0,0.0,0.1
5.743,-124.5,-81.5,-165.8,-0.2,0.0,0.5
5.793,-124.5,-81.6,-165.5,0.0,-0.1,0.3
5.843,-125.2,-81.7,-164.4,-0.7,-0.1,1.1
5.893,-125.8,-81.7,-163.4,-0.6,0.0,1.0
5.943,-126.2,-81.9,-162.7,-0.4,-0.2,0.7
5.993,-126.5,-82.1,-162.1,-0.3,-0.2,0.6
6.043,-126.3,-82.2,-162.1,0.2,-0.1,0.0
6.093,-125.8,-82.2,-162.5,0.5,0.0,-0.4
6.143,-125.7,-82.3,-162.6,0.1,-0.1,-0.1
6.193,-126.1,-82.5,-162.1,-0.4,-0.2,0.5
