Time(s),Roll(deg),Pitch(deg),Yaw(deg),Delta_Roll,Delta_Pitch,Delta_Yaw
0.044,25.5,-87.6,59.0,0.0,0.0,0.0
0.094,25.9,-87.8,58.8,0.4,-0.2,-0.2
0.144,25.5,-87.8,59.1,-0.4,0.0,0.3
0.193,25.7,-87.9,58.9,0.2,-0.1,-0.2
0.245,26.5,-88.1,58.3,0.8,-0.2,-0.6
0.293,27.0,-88.2,57.8,0.5,-0.1,-0.5
0.343,27.4,-88.3,57.5,0.4,-0.1,-0.3
0.393,29.5,-88.5,55.5,2.1,-0.2,-2.0
0.443,27.9,-88.5,57.2,-1.6,0.0,1.7
0.493,21.2,-88.5,64.2,-6.7,0.0,7.0
0.543,12.6,-88.6,73.2,-8.6,-0.1,9.0
0.592,1.7,-88.6,84.6,-10.9,0.0,11.4
0.642,-9.2,-88.4,95.9,-10.9,0.2,11.3
0.693,-20.8,-88.5,108.2,-11.6,-0.1,12.3
0.743,-43.2,-88.7,131.3,-22.4,-0.2,23.1
0.792,-79.0,-89.0,167.8,-35.8,-0.3,36.5
0.843,-107.0,-88.6,-163.4,-28.0,0.4,-331.2
0.894,-120.4,-88.2,-149.4,-13.4,0.4,14.0
0.943,-123.0,-87.9,-145.9,-2.6,0.3,3.5
0.993,-125.9,-87.5,-142.2,-2.9,0.4,3.7
1.043,-132.8,-87.0,-134.5,-6.9,0.5,7.7
1.092,-138.6,-86.6,-127.9,-5.8,0.4,6.6
1.142,-142.5,-86.1,-123.0,-3.9,0.5,4.9
1.192,-141.7,-85.7,-122.6,0.8,0.4,0.4
1.242,-141.7,-85.4,-121.6,0.0,0.3,1.0
1.292,-142.2,-85.1,-120.1,-0.5,0.3,1.5
1.343,-142.0,-84.8,-119.1,0.2,0.3,1.0
1.393,-142.1,-84.5,-118.1,-0.1,0.3,1.0
1.443,-142.9,-84.2,-116.3,-0.8,0.3,1.8
1.492,-144.3,-83.8,-114.0,-1.4,0.4,2.3
1.542,-146.7,-83.2,-110.6,-2.4,0.6,3.4
1.592,-147.2,-82.9,-109.1,-0.5,0.3,1.5
1.642,-147.3,-82.7,-107.9,-0.1,0.2,1.2
1.692,-147.5,-82.5,-106.7,-0.2,0.2,1.2
1.742,-147.1,-82.4,-106.2,0.4,0.1,0.5
1.792,-147.1,-82.4,-105.3,0.0,0.0,0.9
1.842,-147.1,-82.4,-104.5,0.0,0.0,0.8
1.892,-146.8,-82.5,-103.9,0.3,-0.1,0.6
1.942,-146.8,-82.6,-103.1,0.0,-0.1,0.8
1.992,-146.6,-82.7,-102.5,0.2,-0.1,0.6
2.042,-146.5,-82.7,-101.8,0.1,0.0,0.7
2.092,-146.3,-82.8,-101.3,0.2,-0.1,0.5
2.141,-146.4,-82.8,-100.6,-0.1,0.0,0.7
2.190,-146.5,-82.8,-100.0,-0.1,0.0,0.6
2.241,-146.8,-82.9,-99.2,-0.3,-0.1,0.8
2.290,-146.1,-83.0,-99.3,0.7,-0.1,-0.1
2.340,-145.7,-83.1,-99.2,0.4,-0.1,0.1
2.390,-144.7,-83.3,-99.7,1.0,-0.2,-0.5
2.440,-144.0,-83.4,-99.8,0.7,-0.1,-0.1
2.490,-143.5,-83.5,-99.8,0.5,-0.1,0.0
2.540,-143.1,-83.6,-99.7,0.4,-0.1,0.1
2.592,-143.5,-83.7,-98.9,-0.4,-0.1,0.8
2.641,-143.8,-83.8,-98.2,-0.3,-0.1,0.7
2.691,-143.9,-84.0,-97.6,-0.1,-0.2,0.6
2.741,-143.7,-84.3,-97.2,0.2,-0.3,0.4
2.790,-144.5,-84.5,-95.9,-0.8,-0.2,1.3
2.839,-145.2,-84.6,-94.7,-0.7,-0.1,1.2
2.889,-145.7,-84.9,-93.7,-0.5,-0.3,1.0
2.940,-146.6,-84.9,-92.4,-0.9,0.0,1.3
2.989,-147.5,-85.0,-91.1,-0.9,-0.1,1.3
3.039,-148.3,-85.1,-90.0,-0.8,-0.1,1.1
3.090,-148.7,-85.2,-89.2,-0.4,-0.1,0.8
3.140,-149.0,-85.2,-88.7,-0.3,0.0,0.5
3.190,-149.1,-85.1,-88.2,-0.1,0.1,0.5
3.240,-148.4,-85.1,-88.7,0.7,0.0,-0.5
3.290,-148.3,-84.9,-88.4,0.1,0.2,0.3
3.340,-149.1,-84.6,-87.4,-0.8,0.3,1.0
3.389,-149.7,-84.4,-86.7,-0.6,0.2,0.7
3.439,-149.3,-84.3,-87.1,0.4,0.1,-0.4
3.489,-148.1,-84.4,-88.2,1.2,-0.1,-1.1
3.539,-147.5,-84.4,-88.7,0.6,0.0,-0.5
3.588,-147.7,-84.3,-88.4,-0.2,0.1,0.3
3.638,-148.1,-84.1,-88.0,-0.4,0.2,0.4
3.687,-149.1,-83.8,-86.9,-1.0,0.3,1.1
3.738,-150.3,-83.7,-85.6,-1.2,0.1,1.3
3.788,-151.5,-83.6,-84.3,-1.2,0.1,1.3
3.839,-152.9,-83.4,-82.8,-1.4,0.2,1.5
3.888,-154.1,-83.3,-81.5,-1.2,0.1,1.3
3.938,-155.5,-83.1,-79.9,-1.4,0.2,1.6
3.988,-156.9,-82.8,-78.5,-1.4,0.3,1.4
4.038,-158.2,-82.4,-77.0,-1.3,0.4,1.5
4.088,-159.2,-82.3,-75.9,-1.0,0.1,1.1
4.137,-160.2,-82.2,-74.8,-1.0,0.1,1.1
4.187,-161.0,-82.1,-73.9,-0.8,0.1,0.9
4.238,-161.5,-82.0,-73.2,-0.5,0.1,0.7
4.288,-162.1,-81.9,-72.5,-0.6,0.1,0.7
4.338,-162.3,-81.9,-72.1,-0.2,0.0,0.4
4.388,-162.3,-82.0,-72.2,0.0,-0.1,-0.1
4.438,-161.8,-81.9,-72.4,0.5,0.1,-0.2
4.487,-161.6,-81.9,-72.5,0.2,0.0,-0.1
4.537,-161.5,-82.0,-72.5,0.1,-0.1,0.0
4.587,-161.4,-82.1,-72.5,0.1,-0.1,0.0
4.636,-161.4,-82.1,-72.4,0.0,0.0,0.1
4.686,-161.1,-82.1,-72.6,0.3,0.0,-0.2
4.736,-160.9,-82.2,-72.7,0.2,-0.1,-0.1
4.786,-160.8,-82.2,-72.6,0.1,0.0,0.1
4.836,-160.7,-82.2,-72.6,0.1,0.0,0.0
4.887,-160.6,-82.3,-72.4,0.1,-0.1,0.2
4.937,-160.7,-82.3,-72.2,-0.1,0.0,0.2
4.987,-160.9,-82.3,-71.9,-0.2,0.0,0.3
5.036,-161.1,-82.3,-71.6,-0.2,0.0,0.3
5.086,-161.3,-82.3,-71.3,-0.2,0.0,0.3
5.136,-161.6,-82.4,-70.9,-0.3,-0.1,0.4
5.186,-162.0,-82.4,-70.5,-0.4,0.0,0.4
5.236,-162.5,-82.4,-69.9,-0.5,0.0,0.6
5.286,-162.8,-82.3,-69.4,-0.3,0.1,0.5
5.336,-162.9,-82.3,-69.2,-0.1,0.0,0.2
5.386,-163.0,-82.4,-69.0,-0.1,-0.1,0.2
5.436,-163.1,-82.4,-68.9,-0.1,0.0,0.1
5.486,-163.1,-82.5,-68.8,0.0,-0.1,0.1
5.536,-162.8,-82.6,-69.0,0.3,-0.1,-0.2
5.586,-162.5,-82.7,-69.1,0.3,-0.1,-0.1
5.636,-161.9,-82.8,-69.8,0.6,-0.1,-0.7
5.685,-161.5,-82.9,-70.2,0.4,-0.1,-0.4
5.735,-161.6,-83.0,-70.1,-0.1,-0.1,0.1
5.785,-162.0,-82.8,-69.6,-0.4,0.2,0.5
5.835,-162.6,-82.8,-69.1,-0.6,0.0,0.5
5.885,-162.9,-82.7,-68.8,-0.3,0.1,0.3
5.935,-163.0,-82.7,-68.6,-0.1,0.0,0.2
5.985,-163.3,-82.6,-68.3,-0.3,0.1,0.3
6.035,-163.4,-82.7,-68.2,-0.1,-0.1,0.1
6.085,-163.8,-82.6,-67.7,-0.4,0.1,0.5
