Time(s),Roll_Filtered,Pitch_Filtered,Yaw_Filtered,Label
0.01,-3.511858109720401,-67.56139897703437,-36.02004790089258,0
0.059,-3.5069977277870703,-67.55243228328126,-36.05176455996773,0
0.109,-3.5152512222808894,-67.54038520610386,-36.07302856953071,0
0.159,-3.544353808945487,-67.52341720031119,-36.07776665162814,0
0.209,-3.5950417631889238,-67.50140583334502,-36.06563349767815,0
0.259,-3.6600812975910766,-67.47618629578825,-36.0429083550702,0
0.309,-3.7261999895796025,-67.45123988137709,-36.02066877692994,0
0.359,-3.778836889662367,-67.43087530024879,-36.01019681205558,0
0.409,-3.808677228259641,-67.41899407342991,-36.01655454083772,0
0.459,-3.8180120394547834,-67.41763355683328,-36.03227827063554,0
0.509,-3.8244131835348965,-67.42566649932533,-36.03378056896978,0
0.559,-3.859475396973502,-67.43821870666268,-35.98283323371809,0
0.609,-3.961750755740534,-67.44735849927483,-35.83410333272999,0
0.658,-4.165321996347125,-67.44422914187957,-35.54730802708365,0
0.708,-4.487826689722816,-67.42209275503222,-35.1000942279557,0
0.758,-4.922773409217925,-67.37913488729983,-34.49665120358449,0
0.808,-5.439734050689645,-67.3198078225829,-33.768274214444936,0
0.858,-5.992793223487378,-67.25406378304157,-32.9652679469454,0
0.908,-6.534112682839069,-67.1947032132674,-32.14310692500254,0
0.958,-7.027576988669852,-67.15375072437098,-31.347770765182084,0
1.008,-7.458190862067113,-67.13894567543855,-30.60473787960417,0
1.058,-7.835460266176402,-67.15110374298492,-29.91390260286565,0
1.108,-8.191536374717169,-67.1826078683327,-29.25026743094083,0
1.158,-8.575955094966305,-67.21701156010745,-28.56889758475436,0
1.208,-9.048363850701817,-67.2297759214298,-27.812442018343468,0
1.257,-9.669803937357637,-67.19028030897701,-26.91988651806933,0
1.308,-10.492912236594881,-67.06519518163088,-25.835526721360598,0
1.357,-11.551951794491949,-66.82306557013244,-24.517304431868716,0
1.407,-12.854328060243677,-66.43967867434827,-22.94378684918975,0
1.457,-14.37560198230681,-65.90359615434772,-21.11923882514783,0
1.507,-16.059753852360835,-65.22108331813004,-19.076253714137508,0
1.557,-17.825715126952712,-64.41942152152323,-16.875054108643283,0
1.607,-19.58014156039803,-63.547198669516085,-14.598031962844626,0
1.657,-21.2350115721474,-62.669892784485505,-12.33811605453726,0
1.707,-22.726839079311237,-61.85940700676767,-10.180926313060425,0
1.757,-24.032521661136006,-61.177608897400255,-8.183381633673875,0
1.806,-25.17612433788274,-60.65633999251223,-6.354412924421267,0
1.856,-26.222231282420925,-60.27904465405554,-4.645138030194006,0
1.906,-27.25517551491699,-59.97074898752359,-2.954867612944261,0
